chart_id,track_id,artist_id,chart_name,week_date,peak_position,current_position,weeks_on_chart,movement
CHT_00071,TRK_04309,ART_0255,New Music Friday,2026-04-27,35,51,14,-15
CHT_00072,TRK_05810,ART_0071,Top 100 Global,2026-04-27,72,73,1,2
CHT_00073,TRK_03933,ART_0355,Hot 100,2025-11-19,30,37,5,-8
CHT_00074,TRK_00129,ART_0311,New Music Friday,2023-10-19,22,35,15,-17
CHT_00075,TRK_03933,ART_0355,Weekend Anthems,2025-10-15,29,43,2,-1
CHT_00076,TRK_04955,ART_0089,Top Streaming,2026-04-19,7,21,17,7
CHT_00077,TRK_02618,ART_0646,Top 100 Global,2023-07-17,61,72,6,29
CHT_00078,TRK_03933,ART_0355,Weekend Anthems,2025-06-25,25,35,3,-17
CHT_00079,TRK_00774,ART_0154,Hot 100,2025-12-07,83,94,2,8
CHT_00080,TRK_05766,ART_0343,New Music Friday,2026-04-27,59,76,1,24
CHT_00081,TRK_04955,ART_0089,Weekend Anthems,2026-04-05,7,26,8,-2
CHT_00082,TRK_05505,ART_0135,Hot 100,2024-11-22,10,11,34,-20
CHT_00083,TRK_02009,ART_0026,Top Streaming,2023-03-26,86,100,5,-27
CHT_00084,TRK_00764,ART_0515,Viral 50,2026-04-27,82,83,1,15
CHT_00085,TRK_05646,ART_0432,Hot 100,2024-02-25,38,46,1,11
CHT_00086,TRK_05852,ART_0231,Top Streaming,2025-06-02,81,99,3,4
CHT_00087,TRK_03933,ART_0355,Hot 100,2026-02-25,9,25,8,14
CHT_00088,TRK_04955,ART_0089,New Music Friday,2026-04-05,9,22,7,1
CHT_00089,TRK_04955,ART_0089,Top 100 Global,2026-03-29,10,12,19,26
CHT_00090,TRK_03397,ART_0217,Indie Spotlight,2026-04-27,91,91,3,-25
CHT_00091,TRK_02898,ART_0217,New Music Friday,2025-04-12,91,100,2,-10
CHT_00092,TRK_00432,ART_0109,Top 100 Global,2026-04-22,33,50,1,18
CHT_00093,TRK_01604,ART_0483,New Music Friday,2025-02-02,66,86,2,-19
CHT_00094,TRK_03397,ART_0217,Top 100 Global,2026-04-27,60,62,27,1
CHT_00095,TRK_04587,ART_0373,Weekend Anthems,2026-04-27,92,96,2,-26
CHT_00096,TRK_04486,ART_0626,New Music Friday,2023-11-22,66,84,2,-8
CHT_00097,TRK_00764,ART_0515,Top 100 Global,2026-04-27,56,68,2,-21
CHT_00098,TRK_05478,ART_0655,Weekend Anthems,2026-02-15,63,83,3,18
CHT_00099,TRK_04410,ART_0311,Top Streaming,2026-04-26,80,93,3,23
CHT_00100,TRK_05505,ART_0135,Hot 100,2026-02-20,6,7,11,-2
CHT_00101,TRK_00531,ART_0437,Viral 50,2025-11-16,39,49,8,20
CHT_00102,TRK_04955,ART_0089,Weekend Anthems,2026-04-26,6,20,52,27
CHT_00103,TRK_05810,ART_0071,New Music Friday,2026-04-27,88,93,6,2
CHT_00104,TRK_02263,ART_0609,Weekend Anthems,2024-08-02,33,37,3,-23
CHT_00105,TRK_02502,ART_0649,Weekend Anthems,2025-12-12,67,68,4,10
CHT_00106,TRK_02046,ART_0157,Indie Spotlight,2021-11-22,57,76,1,4
CHT_00107,TRK_03783,ART_0093,Top Streaming,2024-08-18,63,63,4,8
CHT_00108,TRK_05086,ART_0381,Viral 50,2026-02-18,33,45,9,14
CHT_00109,TRK_04309,ART_0255,Viral 50,2026-04-27,29,43,3,0
CHT_00110,TRK_05667,ART_0154,Indie Spotlight,2025-11-30,97,100,7,1
CHT_00111,TRK_00129,ART_0311,Indie Spotlight,2023-03-16,24,31,12,-28
CHT_00112,TRK_05505,ART_0135,Top 100 Global,2025-05-16,8,28,9,-1
CHT_00113,TRK_03933,ART_0355,New Music Friday,2026-03-11,13,22,18,-14
CHT_00114,TRK_02993,ART_0337,Top Streaming,2025-02-23,81,82,1,-16
CHT_00115,TRK_00129,ART_0311,Indie Spotlight,2025-02-27,27,43,8,1
CHT_00116,TRK_01363,ART_0162,Top Streaming,2024-05-27,96,98,1,-24
CHT_00117,TRK_02470,ART_0651,Top Streaming,2021-03-04,46,47,14,-23
CHT_00118,TRK_01461,ART_0626,Top 100 Global,2023-07-24,55,72,14,0
CHT_00119,TRK_05505,ART_0135,Viral 50,2024-10-04,20,28,7,19
CHT_00120,TRK_04309,ART_0255,Weekend Anthems,2026-04-27,47,57,10,-21
CHT_00121,TRK_01947,ART_0176,Top 100 Global,2026-01-08,49,67,4,3
CHT_00122,TRK_05505,ART_0135,Top 100 Global,2024-09-20,5,14,5,29
CHT_00123,TRK_04955,ART_0089,Weekend Anthems,2026-03-15,8,17,17,-13
CHT_00124,TRK_03933,ART_0355,Top 100 Global,2025-07-30,24,29,11,28
CHT_00125,TRK_03839,ART_0549,Viral 50,2025-12-10,100,100,5,-5
CHT_00126,TRK_00764,ART_0515,Weekend Anthems,2026-04-27,40,50,19,-29
CHT_00127,TRK_04955,ART_0089,New Music Friday,2026-04-12,5,9,10,-13
CHT_00128,TRK_04955,ART_0089,Top 100 Global,2026-03-29,6,11,8,22
CHT_00129,TRK_05667,ART_0154,Top Streaming,2025-12-28,92,100,18,13
CHT_00130,TRK_05478,ART_0655,Weekend Anthems,2025-11-16,52,58,10,-30
CHT_00131,TRK_04955,ART_0089,Hot 100,2026-04-19,1,14,9,-18
CHT_00132,TRK_05505,ART_0135,New Music Friday,2025-10-10,18,38,8,7
CHT_00133,TRK_04955,ART_0089,Weekend Anthems,2026-03-29,8,18,18,6
CHT_00134,TRK_02573,ART_0272,Weekend Anthems,2024-02-05,63,75,3,-23
CHT_00135,TRK_01461,ART_0626,Top Streaming,2026-01-26,44,54,7,-13
CHT_00136,TRK_04955,ART_0089,Top 100 Global,2026-04-26,7,7,6,-29
CHT_00137,TRK_02502,ART_0649,Viral 50,2025-07-11,65,82,4,18
CHT_00138,TRK_05667,ART_0154,Weekend Anthems,2026-01-18,80,89,13,4
CHT_00139,TRK_05105,ART_0586,Weekend Anthems,2026-04-01,28,33,2,-26
CHT_00140,TRK_00129,ART_0311,Weekend Anthems,2026-01-08,28,44,31,23
CHT_00141,TRK_01150,ART_0210,Indie Spotlight,2024-03-03,51,69,2,25
CHT_00142,TRK_03519,ART_0272,Weekend Anthems,2026-02-25,100,100,2,-25
CHT_00143,TRK_00764,ART_0515,New Music Friday,2026-04-27,76,77,27,3
CHT_00144,TRK_04871,ART_0305,Hot 100,2026-02-18,81,87,2,-30
CHT_00145,TRK_03763,ART_0031,Top 100 Global,2020-04-27,40,50,6,16
CHT_00146,TRK_04955,ART_0089,Viral 50,2026-04-19,10,22,11,-9
CHT_00147,TRK_03770,ART_0416,Viral 50,2026-03-25,77,84,5,13
CHT_00148,TRK_00784,ART_0154,Hot 100,2024-01-28,77,81,4,17
CHT_00149,TRK_05505,ART_0135,Top 100 Global,2025-04-25,6,14,2,16
CHT_00150,TRK_05667,ART_0154,Indie Spotlight,2024-10-13,76,93,3,-13
CHT_00151,TRK_03203,ART_0212,Top Streaming,2023-05-05,38,52,1,-24
CHT_00152,TRK_00981,ART_0323,Viral 50,2024-12-25,26,29,1,-16
CHT_00153,TRK_05478,ART_0655,Viral 50,2026-01-25,64,71,3,-2
CHT_00154,TRK_01461,ART_0626,Viral 50,2025-02-17,77,94,1,-7
CHT_00155,TRK_00129,ART_0311,Indie Spotlight,2025-12-18,16,21,24,-15
CHT_00156,TRK_01461,ART_0626,Hot 100,2026-04-20,53,72,43,9
CHT_00157,TRK_04955,ART_0089,Top 100 Global,2026-04-12,7,21,1,15
CHT_00158,TRK_02439,ART_0388,Top 100 Global,2024-09-07,45,65,1,19
CHT_00159,TRK_05505,ART_0135,Hot 100,2024-12-20,26,39,24,-7
CHT_00160,TRK_04955,ART_0089,Top 100 Global,2026-04-26,6,13,7,-20
CHT_00161,TRK_03933,ART_0355,Top Streaming,2025-09-10,25,44,30,-10
CHT_00162,TRK_03483,ART_0108,Weekend Anthems,2026-04-27,64,66,2,-13
CHT_00163,TRK_04955,ART_0089,Viral 50,2026-04-05,1,9,27,17
CHT_00164,TRK_03933,ART_0355,Hot 100,2025-07-23,11,14,2,23
CHT_00165,TRK_04955,ART_0089,Viral 50,2026-04-12,5,12,25,29
CHT_00166,TRK_05667,ART_0154,Indie Spotlight,2024-10-27,29,31,6,-18
CHT_00167,TRK_02827,ART_0418,Weekend Anthems,2026-01-11,65,80,9,28
CHT_00168,TRK_03857,ART_0438,New Music Friday,2023-09-01,23,28,4,10
CHT_00169,TRK_04380,ART_0406,Top Streaming,2018-01-06,98,100,10,4
CHT_00170,TRK_04955,ART_0089,Weekend Anthems,2026-03-15,1,3,13,-23
CHT_00171,TRK_00129,ART_0311,Top 100 Global,2024-05-23,15,15,11,-7
CHT_00172,TRK_00764,ART_0515,Hot 100,2026-04-27,91,100,9,-16
CHT_00173,TRK_04955,ART_0089,Top 100 Global,2026-04-12,3,6,52,-30
CHT_00174,TRK_03493,ART_0435,Top 100 Global,2025-11-11,25,41,1,29
CHT_00175,TRK_03933,ART_0355,Indie Spotlight,2026-02-25,22,23,14,5
CHT_00176,TRK_05956,ART_0229,Hot 100,2022-09-22,72,79,5,-13
CHT_00177,TRK_03933,ART_0355,New Music Friday,2025-09-24,19,24,12,17
CHT_00178,TRK_05798,ART_0458,Viral 50,2021-06-28,24,42,1,-17
CHT_00179,TRK_04955,ART_0089,Indie Spotlight,2026-03-22,4,21,39,-6
CHT_00180,TRK_05663,ART_0243,Top 100 Global,2026-03-14,26,30,10,-21
CHT_00181,TRK_00754,ART_0255,Top Streaming,2026-04-27,54,58,2,14
CHT_00182,TRK_05205,ART_0091,Indie Spotlight,2025-08-19,43,57,2,-2
CHT_00183,TRK_05667,ART_0154,Top Streaming,2024-01-14,65,65,3,23
CHT_00184,TRK_04955,ART_0089,New Music Friday,2026-04-19,9,16,2,-20
CHT_00185,TRK_02723,ART_0219,Hot 100,2024-11-29,39,41,1,-17
CHT_00186,TRK_04955,ART_0089,Weekend Anthems,2026-03-22,1,17,40,-15
CHT_00187,TRK_01393,ART_0339,Viral 50,2021-09-28,56,69,9,-21
CHT_00188,TRK_00764,ART_0515,Top Streaming,2026-04-27,52,56,9,-14
CHT_00189,TRK_00129,ART_0311,Top 100 Global,2025-04-17,27,30,10,22
CHT_00190,TRK_03933,ART_0355,Top Streaming,2025-08-20,16,35,9,-24
CHT_00191,TRK_01659,ART_0284,Hot 100,2024-07-21,50,67,2,-18
CHT_00192,TRK_04955,ART_0089,Top Streaming,2026-03-22,7,22,19,27
CHT_00193,TRK_00129,ART_0311,Indie Spotlight,2022-05-19,28,44,23,-29
CHT_00194,TRK_04955,ART_0089,Top Streaming,2026-04-12,10,21,7,20
CHT_00195,TRK_03351,ART_0414,Hot 100,2020-01-03,59,79,2,-11
CHT_00196,TRK_00129,ART_0311,New Music Friday,2023-01-12,20,34,6,30
CHT_00197,TRK_04955,ART_0089,Top 100 Global,2026-03-15,1,5,50,-2
CHT_00198,TRK_02522,ART_0018,Indie Spotlight,2025-10-22,97,100,3,29
CHT_00199,TRK_03397,ART_0217,Weekend Anthems,2026-04-27,81,96,2,4
CHT_00200,TRK_00531,ART_0437,Top 100 Global,2026-01-11,55,74,4,-27
CHT_00201,TRK_00531,ART_0437,Hot 100,2026-04-05,89,95,4,17
CHT_00202,TRK_03933,ART_0355,Weekend Anthems,2025-12-17,17,27,12,-18
CHT_00203,TRK_04955,ART_0089,New Music Friday,2026-04-05,7,13,3,-27
CHT_00204,TRK_03749,ART_0559,New Music Friday,2026-04-27,89,100,4,-22
CHT_00205,TRK_03850,ART_0622,Top Streaming,2025-12-08,78,98,1,-17
CHT_00206,TRK_00457,ART_0627,Weekend Anthems,2026-04-27,42,61,7,-24
CHT_00207,TRK_05505,ART_0135,Viral 50,2024-08-16,30,37,30,-15
CHT_00208,TRK_04025,ART_0227,Top Streaming,2026-03-06,77,95,1,-20
CHT_00209,TRK_05478,ART_0655,Indie Spotlight,2026-01-04,71,75,7,-20
CHT_00210,TRK_05923,ART_0377,Viral 50,2023-10-31,61,69,17,-11
CHT_00211,TRK_03034,ART_0442,Top Streaming,2026-04-22,51,70,12,-5
CHT_00212,TRK_05505,ART_0135,Viral 50,2026-04-17,26,45,9,14
CHT_00213,TRK_00582,ART_0072,Indie Spotlight,2023-05-11,33,52,2,0
CHT_00214,TRK_03217,ART_0225,Weekend Anthems,2026-04-27,70,76,2,-18
CHT_00215,TRK_00096,ART_0693,Top Streaming,2020-08-26,31,41,1,18
CHT_00216,TRK_04955,ART_0089,Weekend Anthems,2026-03-29,5,23,12,-3
CHT_00217,TRK_03839,ART_0549,Weekend Anthems,2025-09-17,88,97,7,-2
CHT_00218,TRK_00457,ART_0627,New Music Friday,2026-04-27,71,86,2,-7
CHT_00219,TRK_04955,ART_0089,Weekend Anthems,2026-04-19,5,21,9,-7
CHT_00220,TRK_04955,ART_0089,Hot 100,2026-04-19,9,16,6,20
CHT_00221,TRK_05881,ART_0687,Top 100 Global,2026-03-08,90,92,1,-10
CHT_00222,TRK_02257,ART_0146,New Music Friday,2019-02-04,57,58,3,22
CHT_00223,TRK_00884,ART_0671,New Music Friday,2026-04-27,65,85,1,-6
CHT_00224,TRK_04955,ART_0089,Indie Spotlight,2026-04-26,5,25,15,-27
CHT_00225,TRK_03933,ART_0355,New Music Friday,2026-02-18,15,25,5,-25
CHT_00226,TRK_01911,ART_0677,Top Streaming,2026-04-21,66,80,4,-22
CHT_00227,TRK_05923,ART_0377,New Music Friday,2023-12-12,91,94,7,-6
CHT_00228,TRK_05923,ART_0377,New Music Friday,2024-10-08,99,100,2,-28
CHT_00229,TRK_02392,ART_0437,Indie Spotlight,2023-12-07,30,43,2,7
CHT_00230,TRK_03839,ART_0549,Weekend Anthems,2026-04-22,29,48,3,1
CHT_00231,TRK_03331,ART_0067,New Music Friday,2011-07-05,35,44,2,5
CHT_00232,TRK_00300,ART_0634,Hot 100,2025-06-05,95,100,2,26
CHT_00233,TRK_05478,ART_0655,Top 100 Global,2026-01-11,22,26,18,23
CHT_00234,TRK_00129,ART_0311,Hot 100,2021-11-25,15,29,52,27
CHT_00235,TRK_00734,ART_0381,Top 100 Global,2024-05-01,52,72,3,13
CHT_00236,TRK_00531,ART_0437,Top Streaming,2026-03-22,99,99,2,-8
CHT_00237,TRK_01218,ART_0060,Viral 50,2024-01-15,45,63,1,20
CHT_00238,TRK_03298,ART_0563,Weekend Anthems,2026-04-27,61,74,1,8
CHT_00239,TRK_00129,ART_0311,New Music Friday,2022-08-18,17,21,30,-8
CHT_00240,TRK_03397,ART_0217,Indie Spotlight,2026-04-27,67,76,13,3
CHT_00241,TRK_05663,ART_0243,Weekend Anthems,2026-01-31,33,53,18,-24
CHT_00242,TRK_03933,ART_0355,Top Streaming,2026-01-07,22,26,20,13
CHT_00243,TRK_00457,ART_0627,Top 100 Global,2026-04-27,81,94,1,-13
CHT_00244,TRK_01461,ART_0626,New Music Friday,2025-10-06,95,100,9,-3
CHT_00245,TRK_00129,ART_0311,Indie Spotlight,2023-05-04,9,17,10,-1
CHT_00246,TRK_04955,ART_0089,Hot 100,2026-03-15,8,28,42,-26
CHT_00247,TRK_00764,ART_0515,Indie Spotlight,2026-04-27,41,52,3,4
CHT_00248,TRK_04955,ART_0089,Indie Spotlight,2026-03-15,4,8,46,11
CHT_00249,TRK_05236,ART_0225,Top Streaming,2026-04-27,85,100,1,-8
CHT_00250,TRK_01461,ART_0626,Viral 50,2025-07-21,86,100,13,-29
CHT_00251,TRK_00129,ART_0311,Indie Spotlight,2023-11-16,14,16,2,24
CHT_00252,TRK_03933,ART_0355,Viral 50,2026-03-25,23,32,8,12
CHT_00253,TRK_01033,ART_0233,Hot 100,2026-04-27,24,32,10,-13
CHT_00254,TRK_03933,ART_0355,Weekend Anthems,2025-07-09,20,26,6,25
CHT_00255,TRK_04955,ART_0089,Top 100 Global,2026-03-15,9,21,1,16
CHT_00256,TRK_02358,ART_0402,Indie Spotlight,2025-06-02,79,97,2,1
CHT_00257,TRK_05002,ART_0242,Hot 100,2025-01-16,60,75,2,-14
CHT_00258,TRK_05667,ART_0154,Weekend Anthems,2025-04-20,53,59,29,-21
CHT_00259,TRK_00129,ART_0311,New Music Friday,2025-09-04,24,37,19,-4
CHT_00260,TRK_05663,ART_0243,Weekend Anthems,2026-02-14,92,97,1,18
CHT_00261,TRK_03933,ART_0355,Top 100 Global,2026-03-18,20,27,14,17
CHT_00262,TRK_05505,ART_0135,Top Streaming,2025-01-10,19,20,24,0
CHT_00263,TRK_01148,ART_0603,Weekend Anthems,2023-01-15,73,88,5,-9
CHT_00264,TRK_03933,ART_0355,New Music Friday,2026-02-18,24,24,7,10
CHT_00265,TRK_00129,ART_0311,New Music Friday,2024-06-27,20,28,9,7
CHT_00266,TRK_04353,ART_0356,Indie Spotlight,2021-05-01,77,95,1,-21
CHT_00267,TRK_03933,ART_0355,Top 100 Global,2026-04-22,21,32,26,-7
CHT_00268,TRK_00764,ART_0515,Top 100 Global,2026-04-27,68,80,5,20
CHT_00269,TRK_05505,ART_0135,Top 100 Global,2025-02-28,12,21,5,23
CHT_00270,TRK_01604,ART_0483,Hot 100,2025-09-14,75,78,2,10
CHT_00271,TRK_00457,ART_0627,Indie Spotlight,2026-04-27,79,81,3,-4
CHT_00272,TRK_00764,ART_0515,Top 100 Global,2026-04-27,43,51,1,2
CHT_00273,TRK_05866,ART_0185,Weekend Anthems,2026-01-01,31,37,1,14
CHT_00274,TRK_05505,ART_0135,Top 100 Global,2024-10-04,27,42,12,-21
CHT_00275,TRK_05646,ART_0432,Top Streaming,2025-11-09,65,80,13,-9
CHT_00276,TRK_00764,ART_0515,Indie Spotlight,2026-04-27,42,52,14,-10
CHT_00277,TRK_01824,ART_0359,Viral 50,2017-09-13,60,65,1,15
CHT_00278,TRK_00735,ART_0621,Viral 50,2026-01-20,34,37,2,1
CHT_00279,TRK_04380,ART_0406,Weekend Anthems,2026-03-28,66,69,10,24
CHT_00280,TRK_01911,ART_0677,Top Streaming,2024-12-24,90,100,2,-14
CHT_00281,TRK_04709,ART_0347,Top 100 Global,2021-09-16,57,74,6,-3
CHT_00282,TRK_03397,ART_0217,Top 100 Global,2026-04-27,27,30,43,-9
CHT_00283,TRK_05663,ART_0243,Viral 50,2026-02-07,54,60,5,-1
CHT_00284,TRK_03839,ART_0549,New Music Friday,2025-07-09,59,65,4,2
CHT_00285,TRK_05923,ART_0377,Viral 50,2023-03-28,58,67,34,-5
CHT_00286,TRK_00923,ART_0457,Weekend Anthems,2023-04-02,36,38,3,20
CHT_00287,TRK_05505,ART_0135,Top 100 Global,2024-09-27,20,39,3,15
CHT_00288,TRK_04309,ART_0255,Viral 50,2026-04-27,27,41,21,0
CHT_00289,TRK_00129,ART_0311,Top Streaming,2023-12-28,20,24,12,9
CHT_00290,TRK_03933,ART_0355,Viral 50,2025-09-17,11,31,9,-9
CHT_00291,TRK_03397,ART_0217,Indie Spotlight,2026-04-27,44,48,2,7
CHT_00292,TRK_02052,ART_0097,Top 100 Global,2022-08-10,39,55,1,23
CHT_00293,TRK_05505,ART_0135,New Music Friday,2025-01-31,15,20,14,30
CHT_00294,TRK_04955,ART_0089,Indie Spotlight,2026-04-19,10,30,37,-16
CHT_00295,TRK_01441,ART_0272,Weekend Anthems,2023-06-12,83,88,1,-3
CHT_00296,TRK_04309,ART_0255,New Music Friday,2026-04-27,81,82,8,0
CHT_00297,TRK_05923,ART_0377,New Music Friday,2024-01-23,78,97,2,-30
CHT_00298,TRK_03933,ART_0355,Viral 50,2025-09-10,25,31,44,4
CHT_00299,TRK_04955,ART_0089,New Music Friday,2026-04-05,10,25,6,13
CHT_00300,TRK_02809,ART_0388,Indie Spotlight,2022-11-29,49,65,2,3
CHT_00301,TRK_03397,ART_0217,New Music Friday,2026-04-27,64,75,6,5
CHT_00302,TRK_04455,ART_0068,Top Streaming,2024-01-16,100,100,1,23
CHT_00303,TRK_02440,ART_0347,Indie Spotlight,2025-11-16,64,68,5,-22
CHT_00304,TRK_03933,ART_0355,Indie Spotlight,2025-11-05,12,19,11,9
CHT_00305,TRK_05330,ART_0381,Top Streaming,2024-09-11,91,100,2,-3
CHT_00306,TRK_00129,ART_0311,Top 100 Global,2022-05-19,15,27,19,13
CHT_00307,TRK_04955,ART_0089,Weekend Anthems,2026-04-12,3,22,3,7
CHT_00308,TRK_04955,ART_0089,New Music Friday,2026-04-05,10,29,52,24
CHT_00309,TRK_03642,ART_0483,Top 100 Global,2026-02-12,75,91,2,26
CHT_00310,TRK_04278,ART_0319,Weekend Anthems,2024-09-30,45,49,1,-1
CHT_00311,TRK_03839,ART_0549,Hot 100,2025-06-04,62,73,3,-8
CHT_00312,TRK_05505,ART_0135,Top Streaming,2025-10-10,25,31,2,18
CHT_00313,TRK_01517,ART_0007,Weekend Anthems,2026-02-18,20,26,8,-5
CHT_00314,TRK_05191,ART_0539,Weekend Anthems,2025-06-06,61,70,7,-11
CHT_00315,TRK_05505,ART_0135,Indie Spotlight,2025-10-31,9,26,20,16
CHT_00316,TRK_04380,ART_0406,Top 100 Global,2022-06-18,41,53,7,3
CHT_00317,TRK_04136,ART_0295,Weekend Anthems,2018-09-03,38,40,11,-24
CHT_00318,TRK_04955,ART_0089,Hot 100,2026-04-12,9,19,27,-16
CHT_00319,TRK_05478,ART_0655,Weekend Anthems,2026-03-22,40,59,18,-7
CHT_00320,TRK_03510,ART_0489,Weekend Anthems,2026-04-27,69,80,1,22
CHT_00321,TRK_00129,ART_0311,Top Streaming,2024-07-11,16,36,8,-22
CHT_00322,TRK_02257,ART_0146,Indie Spotlight,2012-07-16,27,43,3,-30
CHT_00323,TRK_00129,ART_0311,Top 100 Global,2021-10-07,12,29,4,-23
