playlist_entry_id,user_id,playlist_name,track_id,platform,added_date,position,is_public
PLE_00023,USR_00099,Sleep Wait,TRK_01294,Spotify,2026-03-21,92,False
PLE_00024,USR_00077,Study Woman,TRK_05812,Apple Music,2026-04-27,2,True
PLE_00025,USR_00387,Study Boy,TRK_04702,Apple Music,2024-05-26,67,True
PLE_00026,USR_00294,Party Gun,TRK_01741,Amazon Music,2026-04-14,71,False
PLE_00027,USR_00454,Party To,TRK_02921,Tidal,2026-03-10,31,False
PLE_00028,USR_00001,Sleep Much,TRK_03032,Spotify,2026-04-27,75,True
PLE_00029,USR_00384,Focus Production,TRK_05338,YouTube Music,2025-04-22,84,False
PLE_00030,USR_00035,Party Firm,TRK_02643,Spotify,2026-02-22,16,True
PLE_00031,USR_00475,Focus Program,TRK_05667,Spotify,2025-03-03,69,True
PLE_00032,USR_00345,Party Best,TRK_04984,Spotify,2026-03-12,81,False
PLE_00033,USR_00217,Mood Brother,TRK_03933,Spotify,2025-12-21,79,True
PLE_00034,USR_00083,Mood Manager,TRK_01615,Tidal,2015-06-23,30,True
PLE_00035,USR_00156,Vibes Other,TRK_03236,Spotify,2024-01-16,52,False
PLE_00036,USR_00155,Chill Film,TRK_02811,Amazon Music,2026-03-22,94,True
PLE_00037,USR_00035,Focus Yeah,TRK_04527,Apple Music,2026-01-30,11,True
PLE_00038,USR_00486,Focus Appear,TRK_00065,Apple Music,2026-01-27,83,True
PLE_00039,USR_00187,Mood Along,TRK_03962,Spotify,2024-08-22,50,True
PLE_00040,USR_00352,Chill Just,TRK_01554,Amazon Music,2024-07-28,83,True
PLE_00041,USR_00452,Party Bar,TRK_05263,YouTube Music,2026-04-27,28,False
PLE_00042,USR_00049,Vibes Economy,TRK_05023,Amazon Music,2021-03-03,68,False
PLE_00043,USR_00414,Study Woman,TRK_02295,Spotify,2024-01-27,39,True
PLE_00044,USR_00202,Party Really,TRK_00616,Apple Music,2019-02-23,2,True
PLE_00045,USR_00222,Party Notice,TRK_05584,Spotify,2025-12-30,60,True
PLE_00046,USR_00449,Study Land,TRK_03131,Spotify,2026-04-27,10,True
PLE_00047,USR_00381,Vibes Rich,TRK_05682,Spotify,2026-04-27,83,True
PLE_00048,USR_00173,Study Few,TRK_01729,Apple Music,2025-12-09,98,True
PLE_00049,USR_00490,Party Any,TRK_05843,Tidal,2025-07-04,45,False
PLE_00050,USR_00449,Sleep Box,TRK_04872,YouTube Music,2015-10-29,62,True
PLE_00051,USR_00407,Mood Certainly,TRK_00828,Apple Music,2013-10-03,69,True
PLE_00052,USR_00217,Vibes Might,TRK_00452,Apple Music,2024-11-19,98,False
PLE_00053,USR_00084,Mood Know,TRK_05283,YouTube Music,2025-02-15,35,True
PLE_00054,USR_00162,Mood Together,TRK_01486,Spotify,2023-05-21,42,True
PLE_00055,USR_00319,Party Really,TRK_04263,Spotify,2024-02-01,97,True
PLE_00056,USR_00256,Study Land,TRK_01318,YouTube Music,2026-04-20,75,True
PLE_00057,USR_00131,Study Four,TRK_01191,Tidal,2026-04-27,71,False
PLE_00058,USR_00273,Vibes Little,TRK_05855,Spotify,2025-09-16,65,True
PLE_00059,USR_00197,Mood Court,TRK_02424,Apple Music,2024-07-30,57,True
PLE_00060,USR_00385,Chill Health,TRK_02626,YouTube Music,2025-10-07,81,True
PLE_00061,USR_00209,Chill Read,TRK_01877,YouTube Music,2025-01-14,5,True
PLE_00062,USR_00293,Party Establish,TRK_02003,Spotify,2025-08-20,46,True
PLE_00063,USR_00166,Mood Court,TRK_00436,YouTube Music,2025-03-05,36,True
PLE_00064,USR_00490,Chill Campaign,TRK_02573,Apple Music,2024-12-16,14,False
PLE_00065,USR_00222,Sleep Including,TRK_02632,YouTube Music,2021-03-27,79,False
PLE_00066,USR_00142,Chill Buy,TRK_04309,YouTube Music,2026-04-27,60,True
PLE_00067,USR_00070,Vibes Other,TRK_01099,Apple Music,2026-02-26,46,True
PLE_00068,USR_00301,Party Movement,TRK_02972,Apple Music,2025-01-08,69,True
PLE_00069,USR_00054,Focus Small,TRK_03054,YouTube Music,2021-09-20,37,True
PLE_00070,USR_00104,Party Best,TRK_05197,Tidal,2026-03-31,29,True
PLE_00071,USR_00316,Chill Week,TRK_05380,Apple Music,2025-07-30,56,True
PLE_00072,USR_00483,Focus Share,TRK_05912,Spotify,2016-09-25,64,False
PLE_00073,USR_00294,Vibes Economy,TRK_05744,Tidal,2026-03-27,59,True
PLE_00074,USR_00475,Vibes Four,TRK_05017,YouTube Music,2020-05-17,35,True
PLE_00075,USR_00202,Chill Plan,TRK_02209,Amazon Music,2026-02-13,34,False
PLE_00076,USR_00233,Vibes Other,TRK_03763,Spotify,2024-11-02,11,True
PLE_00077,USR_00471,Party Why,TRK_01697,Spotify,2020-01-24,33,True
PLE_00078,USR_00494,Vibes Particular,TRK_01976,Amazon Music,2013-10-27,18,True
PLE_00079,USR_00070,Sleep Them,TRK_01329,YouTube Music,2024-01-17,52,True
PLE_00080,USR_00337,Party Notice,TRK_02967,Apple Music,2026-04-07,42,True
PLE_00081,USR_00221,Vibes Major,TRK_01081,Apple Music,2025-08-26,44,True
PLE_00082,USR_00114,Focus Door,TRK_05348,YouTube Music,2026-04-27,85,True
PLE_00083,USR_00040,Sleep Approach,TRK_05016,Spotify,2026-04-07,33,True
PLE_00084,USR_00177,Focus Keep,TRK_01337,Spotify,2023-03-20,21,False
PLE_00085,USR_00408,Workout Federal,TRK_04316,Tidal,2023-06-18,67,True
PLE_00086,USR_00136,Party Often,TRK_02150,Spotify,2026-04-24,7,False
PLE_00087,USR_00271,Party Tv,TRK_05208,YouTube Music,2026-03-04,31,True
PLE_00088,USR_00072,Chill Week,TRK_00028,YouTube Music,2026-04-27,54,True
PLE_00089,USR_00378,Vibes Party,TRK_00143,Spotify,2024-06-04,83,False
PLE_00090,USR_00025,Focus On,TRK_05555,Amazon Music,2026-03-17,75,True
PLE_00091,USR_00446,Party Music,TRK_00865,YouTube Music,2026-04-26,57,False
PLE_00092,USR_00407,Chill Growth,TRK_04025,Spotify,2026-04-15,71,False
PLE_00093,USR_00126,Workout Quickly,TRK_04593,Spotify,2025-02-03,3,True
PLE_00094,USR_00234,Mood We,TRK_02472,Spotify,2026-02-18,48,True
PLE_00095,USR_00253,Focus On,TRK_01808,Tidal,2026-04-15,95,False
PLE_00096,USR_00370,Vibes City,TRK_05636,YouTube Music,2026-03-13,10,True
PLE_00097,USR_00443,Focus Sound,TRK_05397,Amazon Music,2025-12-12,20,True
PLE_00098,USR_00430,Chill Read,TRK_01682,Amazon Music,2019-06-03,12,False
PLE_00099,USR_00058,Vibes City,TRK_02820,YouTube Music,2021-02-23,59,True
PLE_00100,USR_00348,Study Ground,TRK_01785,Spotify,2025-09-03,69,True
PLE_00101,USR_00097,Workout Official,TRK_03917,YouTube Music,2023-09-23,70,True
PLE_00102,USR_00071,Sleep Them,TRK_02874,Amazon Music,2025-12-23,45,True
PLE_00103,USR_00356,Party Why,TRK_00479,YouTube Music,2011-08-06,42,True
PLE_00104,USR_00005,Sleep Run,TRK_04396,YouTube Music,2026-01-26,74,True
PLE_00105,USR_00454,Workout Money,TRK_01292,Apple Music,2026-01-18,57,False
PLE_00106,USR_00135,Sleep Century,TRK_03748,YouTube Music,2024-09-16,72,True
PLE_00107,USR_00360,Focus Share,TRK_02846,Amazon Music,2024-07-27,5,True
PLE_00108,USR_00093,Sleep Forget,TRK_03856,Apple Music,2024-08-04,82,False
PLE_00109,USR_00262,Vibes Yourself,TRK_02288,Spotify,2024-05-13,74,False
PLE_00110,USR_00034,Vibes Consider,TRK_00820,Spotify,2026-04-04,62,False
PLE_00111,USR_00281,Focus Blood,TRK_05955,Apple Music,2021-11-23,19,True
PLE_00112,USR_00290,Chill Buy,TRK_05058,Spotify,2021-11-30,8,False
PLE_00113,USR_00358,Workout Official,TRK_01549,Amazon Music,2026-04-27,59,True
PLE_00114,USR_00109,Study Area,TRK_03896,Spotify,2020-05-22,57,True
PLE_00115,USR_00283,Chill Should,TRK_01393,Tidal,2025-05-25,44,False
PLE_00116,USR_00210,Party Tv,TRK_00191,YouTube Music,2026-03-04,82,True
PLE_00117,USR_00346,Party Call,TRK_00552,Spotify,2022-01-20,97,False
PLE_00118,USR_00314,Vibes Party,TRK_04208,Spotify,2025-09-26,92,True
PLE_00119,USR_00232,Party To,TRK_04324,YouTube Music,2024-09-14,86,True
PLE_00120,USR_00455,Party Maybe,TRK_05193,YouTube Music,2023-10-29,46,True
PLE_00121,USR_00265,Mood Know,TRK_01485,Tidal,2026-04-27,98,False
PLE_00122,USR_00229,Focus Free,TRK_03121,Apple Music,2024-12-24,52,True
PLE_00123,USR_00256,Sleep Interesting,TRK_05359,YouTube Music,2026-04-19,63,False
PLE_00124,USR_00093,Workout Skin,TRK_03251,Amazon Music,2023-10-28,65,True
PLE_00125,USR_00020,Sleep Both,TRK_00365,Spotify,2025-10-07,18,False
PLE_00126,USR_00028,Sleep Run,TRK_03300,Spotify,2026-03-13,86,False
PLE_00127,USR_00199,Chill Just,TRK_02571,Amazon Music,2024-04-09,32,False
PLE_00128,USR_00417,Workout Money,TRK_00121,Tidal,2019-08-25,49,False
PLE_00129,USR_00301,Focus Science,TRK_00436,YouTube Music,2026-01-26,94,False
PLE_00130,USR_00347,Workout Attorney,TRK_01090,Spotify,2024-02-05,25,False
PLE_00131,USR_00429,Vibes Consider,TRK_03607,YouTube Music,2021-11-07,84,True
PLE_00132,USR_00491,Chill Campaign,TRK_01545,Tidal,2026-01-13,83,True
PLE_00133,USR_00348,Mood College,TRK_04442,Apple Music,2019-04-27,16,True
PLE_00134,USR_00029,Focus Born,TRK_04265,Apple Music,2024-06-27,1,False
PLE_00135,USR_00166,Vibes Four,TRK_01278,Spotify,2026-04-27,100,True
PLE_00136,USR_00380,Focus Keep,TRK_00601,Tidal,2025-10-29,70,False
PLE_00137,USR_00080,Vibes Other,TRK_05657,Spotify,2021-04-10,79,False
PLE_00138,USR_00369,Workout Money,TRK_05741,Spotify,2026-03-20,96,False
PLE_00139,USR_00243,Vibes Reality,TRK_04457,Tidal,2022-10-20,2,True
PLE_00140,USR_00164,Party Interview,TRK_03183,Spotify,2026-03-19,19,True
PLE_00141,USR_00053,Party Realize,TRK_01133,Spotify,2025-06-27,90,True
PLE_00142,USR_00186,Focus Whom,TRK_01853,Apple Music,2026-04-27,25,False
PLE_00143,USR_00148,Mood Court,TRK_01514,YouTube Music,2026-01-30,1,True
PLE_00144,USR_00205,Workout Arrive,TRK_01362,Tidal,2017-08-07,55,True
PLE_00145,USR_00321,Focus Free,TRK_04574,Apple Music,2026-03-25,77,True
PLE_00146,USR_00050,Party Rich,TRK_04715,Amazon Music,2025-04-08,91,True
PLE_00147,USR_00290,Chill Trouble,TRK_03861,YouTube Music,2026-04-27,17,True
PLE_00148,USR_00370,Vibes Light,TRK_03532,Apple Music,2024-08-01,37,True
PLE_00149,USR_00277,Sleep Whom,TRK_02504,Tidal,2017-12-31,35,True
PLE_00150,USR_00072,Party Rich,TRK_04008,Spotify,2017-11-05,39,False
PLE_00151,USR_00372,Mood Know,TRK_04016,Apple Music,2016-03-21,81,True
PLE_00152,USR_00130,Vibes Four,TRK_02341,Tidal,2025-08-06,1,True
PLE_00153,USR_00369,Vibes Expect,TRK_00587,Amazon Music,2025-05-18,39,True
PLE_00154,USR_00219,Study Area,TRK_04074,Apple Music,2026-02-02,75,True
PLE_00155,USR_00177,Mood Significant,TRK_04534,Spotify,2023-03-29,49,False
PLE_00156,USR_00141,Workout He,TRK_05792,Tidal,2023-03-29,71,True
PLE_00157,USR_00184,Mood Consider,TRK_04085,Tidal,2025-02-21,20,True
PLE_00158,USR_00196,Mood We,TRK_04654,Tidal,2023-02-10,24,True
PLE_00159,USR_00273,Party Notice,TRK_04624,YouTube Music,2026-04-11,25,True
PLE_00160,USR_00271,Workout Inside,TRK_05932,Amazon Music,2025-05-06,81,True
PLE_00161,USR_00234,Mood College,TRK_03856,Spotify,2024-09-21,8,True
PLE_00162,USR_00330,Chill Few,TRK_04364,Apple Music,2022-07-17,24,True
PLE_00163,USR_00449,Mood Interesting,TRK_03619,Apple Music,2012-05-06,94,True
PLE_00164,USR_00173,Study Nation,TRK_00332,Amazon Music,2026-04-24,19,False
PLE_00165,USR_00005,Workout Individual,TRK_00443,Tidal,2025-05-05,53,True
PLE_00166,USR_00436,Party Small,TRK_05020,Apple Music,2026-04-27,9,True
PLE_00167,USR_00362,Workout Final,TRK_05890,YouTube Music,2026-02-13,9,True
PLE_00168,USR_00258,Focus Share,TRK_04204,Spotify,2024-08-06,17,True
PLE_00169,USR_00475,Mood Want,TRK_05545,Apple Music,2026-02-16,56,False
PLE_00170,USR_00500,Mood Manager,TRK_05183,YouTube Music,2009-06-20,41,True
PLE_00171,USR_00370,Chill Trouble,TRK_03644,Spotify,2026-01-23,47,True
PLE_00172,USR_00425,Study Few,TRK_02841,YouTube Music,2026-04-20,15,True
PLE_00173,USR_00346,Vibes Apply,TRK_03083,Apple Music,2025-11-13,93,True
PLE_00174,USR_00414,Vibes Yourself,TRK_02831,Amazon Music,2020-05-02,31,True
PLE_00175,USR_00417,Party Nothing,TRK_00935,Amazon Music,2026-04-27,63,False
PLE_00176,USR_00209,Workout Thank,TRK_05149,Tidal,2025-09-16,72,True
PLE_00177,USR_00450,Mood Court,TRK_04132,Spotify,2021-07-17,53,True
PLE_00178,USR_00064,Chill Central,TRK_01679,Apple Music,2022-07-12,54,False
PLE_00179,USR_00295,Workout Skin,TRK_05355,Spotify,2025-09-30,12,False
PLE_00180,USR_00220,Sleep Again,TRK_04030,Apple Music,2025-08-20,99,False
PLE_00181,USR_00339,Study Beat,TRK_03170,Spotify,2022-12-23,78,True
PLE_00182,USR_00402,Workout Inside,TRK_04898,Spotify,2025-05-02,28,True
PLE_00183,USR_00481,Chill Week,TRK_02968,Spotify,2024-06-16,56,True
PLE_00184,USR_00199,Study Ground,TRK_01473,Spotify,2026-03-16,45,False
PLE_00185,USR_00228,Vibes Then,TRK_02621,Apple Music,2025-10-16,59,True
PLE_00186,USR_00445,Sleep Run,TRK_01461,YouTube Music,2025-11-07,23,True
PLE_00187,USR_00044,Workout Money,TRK_03800,Spotify,2025-06-07,30,True
PLE_00188,USR_00346,Party Meeting,TRK_01429,Amazon Music,2025-08-12,1,True
PLE_00189,USR_00474,Workout Final,TRK_01321,Spotify,2026-04-04,25,False
PLE_00190,USR_00464,Mood College,TRK_02287,YouTube Music,2024-12-05,38,True
PLE_00191,USR_00471,Workout Population,TRK_05063,Amazon Music,2025-10-25,45,False
PLE_00192,USR_00347,Party Article,TRK_05771,Tidal,2026-04-11,67,True
PLE_00193,USR_00027,Mood Drug,TRK_04312,Spotify,2025-12-06,21,True
PLE_00194,USR_00370,Focus Sound,TRK_01012,Amazon Music,2026-04-27,79,False
PLE_00195,USR_00455,Mood Along,TRK_02292,Spotify,2025-07-16,58,False
PLE_00196,USR_00224,Chill Itself,TRK_02248,YouTube Music,2023-01-27,93,False
PLE_00197,USR_00010,Sleep Forget,TRK_05200,Apple Music,2026-04-27,11,True
PLE_00198,USR_00260,Party Right,TRK_00771,Spotify,2024-01-01,91,True
PLE_00199,USR_00189,Mood International,TRK_00930,Spotify,2025-12-11,39,True
PLE_00200,USR_00435,Sleep Box,TRK_02758,YouTube Music,2025-09-01,60,True
PLE_00201,USR_00494,Mood International,TRK_04870,Spotify,2026-02-23,20,False
PLE_00202,USR_00314,Party To,TRK_02286,Spotify,2023-06-17,62,True
PLE_00203,USR_00126,Chill Exactly,TRK_03849,Amazon Music,2025-10-30,16,True
PLE_00204,USR_00308,Sleep Again,TRK_05704,YouTube Music,2026-03-14,41,False
PLE_00205,USR_00234,Workout Population,TRK_02830,Amazon Music,2025-06-18,54,True
PLE_00206,USR_00240,Chill Special,TRK_03225,Spotify,2020-12-27,27,True
PLE_00207,USR_00035,Party Model,TRK_05982,Spotify,2022-05-22,42,False
PLE_00208,USR_00220,Workout Skin,TRK_00901,Spotify,2024-03-20,36,True
PLE_00209,USR_00133,Party To,TRK_04877,Spotify,2026-03-21,44,False
PLE_00210,USR_00238,Vibes President,TRK_03880,Spotify,2026-01-14,36,False
PLE_00211,USR_00389,Sleep Again,TRK_05241,Spotify,2025-08-04,80,True
PLE_00212,USR_00332,Party Movement,TRK_03388,YouTube Music,2018-04-25,89,True
PLE_00213,USR_00145,Chill Read,TRK_04029,Spotify,2017-12-14,19,True
PLE_00214,USR_00495,Study Ground,TRK_03755,Amazon Music,2018-05-27,79,True
PLE_00215,USR_00347,Mood Significant,TRK_04833,Apple Music,2022-10-13,94,True
PLE_00216,USR_00211,Chill Just,TRK_03677,Spotify,2026-02-17,42,False
PLE_00217,USR_00438,Focus Church,TRK_02537,YouTube Music,2011-10-01,52,True
PLE_00218,USR_00182,Focus Seek,TRK_03212,Apple Music,2026-04-08,11,True
PLE_00219,USR_00166,Study Four,TRK_05520,Spotify,2024-03-30,48,True
PLE_00220,USR_00347,Vibes Rich,TRK_04868,YouTube Music,2026-04-22,87,True
PLE_00221,USR_00213,Chill Measure,TRK_04102,Spotify,2024-01-09,84,False
PLE_00222,USR_00246,Party Minute,TRK_02574,Spotify,2025-05-09,24,True
PLE_00223,USR_00224,Focus Performance,TRK_01128,Amazon Music,2026-04-27,6,True
PLE_00224,USR_00439,Mood Want,TRK_01643,YouTube Music,2026-02-03,70,False
PLE_00225,USR_00500,Party Maybe,TRK_00138,Apple Music,2022-08-16,93,True
PLE_00226,USR_00272,Party Today,TRK_05425,Tidal,2025-08-04,100,True
PLE_00227,USR_00360,Vibes Apply,TRK_01468,Amazon Music,2025-09-19,2,True
PLE_00228,USR_00340,Workout Stop,TRK_03794,Spotify,2026-03-27,58,False
PLE_00229,USR_00051,Study Area,TRK_05304,Tidal,2026-03-26,26,True
PLE_00230,USR_00222,Focus Production,TRK_04195,Tidal,2024-12-03,12,True
PLE_00231,USR_00423,Study Ground,TRK_00251,YouTube Music,2023-04-15,24,False
PLE_00232,USR_00456,Chill Just,TRK_01196,Tidal,2026-03-27,5,False
PLE_00233,USR_00231,Chill Plan,TRK_01247,YouTube Music,2026-03-25,63,True
PLE_00234,USR_00027,Sleep Wait,TRK_05451,Apple Music,2020-12-08,94,True
PLE_00235,USR_00187,Party Capital,TRK_01987,YouTube Music,2025-08-06,84,True
PLE_00236,USR_00483,Focus Program,TRK_04558,Spotify,2026-03-31,75,False
PLE_00237,USR_00477,Focus Blood,TRK_05972,Amazon Music,2025-06-20,76,True
PLE_00238,USR_00068,Study Land,TRK_01592,Apple Music,2025-08-13,45,True
PLE_00239,USR_00331,Focus First,TRK_05330,Apple Music,2023-11-01,33,True
PLE_00240,USR_00108,Mood We,TRK_04182,Apple Music,2026-04-27,83,True
PLE_00241,USR_00102,Party Oil,TRK_05572,Spotify,2026-02-23,19,True
PLE_00242,USR_00104,Party Firm,TRK_04008,Spotify,2025-12-17,89,False
PLE_00243,USR_00123,Vibes President,TRK_02440,Spotify,2025-01-30,18,True
PLE_00244,USR_00008,Focus Appear,TRK_05413,Amazon Music,2025-11-16,84,True
PLE_00245,USR_00135,Workout Money,TRK_02953,YouTube Music,2025-08-09,64,True
PLE_00246,USR_00310,Sleep Both,TRK_05259,Apple Music,2004-10-26,93,True
PLE_00247,USR_00430,Workout Where,TRK_00733,Apple Music,2024-08-28,57,True
PLE_00248,USR_00414,Workout Themselves,TRK_04382,Spotify,2022-07-22,72,True
PLE_00249,USR_00271,Workout Effort,TRK_05003,Amazon Music,2024-08-17,44,False
PLE_00250,USR_00327,Vibes Usually,TRK_05603,Spotify,2026-04-08,25,True
PLE_00251,USR_00398,Mood If,TRK_02129,Apple Music,2026-04-27,66,False
PLE_00252,USR_00036,Vibes Light,TRK_02782,Apple Music,2026-04-23,10,True
PLE_00253,USR_00102,Focus First,TRK_05713,Apple Music,2021-11-02,95,True
PLE_00254,USR_00201,Mood Want,TRK_05253,YouTube Music,2024-04-11,62,True
PLE_00255,USR_00012,Party To,TRK_01979,Amazon Music,2024-08-29,8,False
PLE_00256,USR_00050,Workout Population,TRK_05768,Amazon Music,2026-01-16,51,False
PLE_00257,USR_00396,Workout Official,TRK_05942,Apple Music,2024-08-01,72,True
PLE_00258,USR_00349,Party Rich,TRK_05086,YouTube Music,2024-09-07,81,True
PLE_00259,USR_00180,Mood Drug,TRK_02508,Spotify,2016-02-08,2,False
PLE_00260,USR_00414,Vibes Might,TRK_04037,Spotify,2024-07-08,1,False
PLE_00261,USR_00474,Party Argue,TRK_05063,Apple Music,2024-02-12,52,True
PLE_00262,USR_00070,Sleep Both,TRK_03732,Amazon Music,2026-02-13,67,True
PLE_00263,USR_00382,Party Capital,TRK_00770,Spotify,2024-10-06,3,True
PLE_00264,USR_00434,Workout Thank,TRK_02993,YouTube Music,2025-02-22,1,True
PLE_00265,USR_00006,Vibes Practice,TRK_03471,Amazon Music,2019-02-17,100,True
PLE_00266,USR_00240,Chill Growth,TRK_02509,Apple Music,2026-04-20,73,True
PLE_00267,USR_00460,Workout Where,TRK_03856,Amazon Music,2024-12-02,46,True
PLE_00268,USR_00338,Focus Science,TRK_04106,YouTube Music,2026-02-26,98,True
PLE_00269,USR_00114,Party Music,TRK_00386,Amazon Music,2024-01-31,76,False
PLE_00270,USR_00153,Mood We,TRK_03421,Spotify,2026-04-27,93,False
PLE_00271,USR_00378,Focus Figure,TRK_01277,Tidal,2021-12-25,28,False
PLE_00272,USR_00392,Mood Road,TRK_04674,Spotify,2023-10-04,8,True
PLE_00273,USR_00319,Focus Production,TRK_01737,Spotify,2026-02-27,49,False
PLE_00274,USR_00306,Focus First,TRK_00170,Spotify,2018-05-24,88,False
PLE_00275,USR_00252,Focus Keep,TRK_02054,Spotify,2026-02-21,24,False
PLE_00276,USR_00183,Study Analysis,TRK_00135,Tidal,2021-02-10,7,False
PLE_00277,USR_00167,Sleep Carry,TRK_04238,Apple Music,2026-04-27,51,True
PLE_00278,USR_00004,Chill Trouble,TRK_00498,Apple Music,2022-09-15,91,False
PLE_00279,USR_00060,Chill Buy,TRK_04955,Tidal,2026-04-27,31,True
PLE_00280,USR_00253,Party Maybe,TRK_01697,Spotify,2021-01-21,1,True
PLE_00281,USR_00215,Focus Door,TRK_05865,Amazon Music,2026-03-21,63,True
PLE_00282,USR_00301,Party Often,TRK_00092,Spotify,2025-12-10,49,True
PLE_00283,USR_00167,Party Today,TRK_05620,Spotify,2024-07-08,59,True
PLE_00284,USR_00249,Focus On,TRK_03723,Spotify,2025-06-11,34,True
PLE_00285,USR_00297,Focus Seek,TRK_00527,Spotify,2026-04-25,36,False
PLE_00286,USR_00186,Chill Itself,TRK_00051,YouTube Music,2025-12-19,51,True
PLE_00287,USR_00128,Workout Thank,TRK_01878,Amazon Music,2025-12-29,39,False
PLE_00288,USR_00288,Party Interview,TRK_01413,Amazon Music,2026-04-24,90,True
PLE_00289,USR_00189,Mood Drug,TRK_00962,Spotify,2024-06-22,91,True
PLE_00290,USR_00053,Study Now,TRK_04380,Amazon Music,2021-06-23,76,False
PLE_00291,USR_00275,Chill Should,TRK_05794,Spotify,2024-05-26,2,True
PLE_00292,USR_00273,Party Nothing,TRK_04255,YouTube Music,2026-04-27,100,True
PLE_00293,USR_00345,Chill Off,TRK_03097,Amazon Music,2023-07-24,65,False
PLE_00294,USR_00172,Chill Campaign,TRK_04015,Apple Music,2026-03-13,9,False
PLE_00295,USR_00329,Focus Science,TRK_00304,Spotify,2023-08-15,52,False
PLE_00296,USR_00435,Mood Consider,TRK_03384,Spotify,2026-04-27,47,True
PLE_00297,USR_00181,Chill Explain,TRK_05210,YouTube Music,2026-01-28,52,False
PLE_00298,USR_00097,Vibes President,TRK_05545,Spotify,2025-12-25,16,True
PLE_00299,USR_00373,Study Woman,TRK_00097,Amazon Music,2025-03-24,93,True
PLE_00300,USR_00281,Chill Read,TRK_04742,Spotify,2026-03-31,36,False
PLE_00301,USR_00317,Chill Central,TRK_01393,Apple Music,2023-09-13,2,False
PLE_00302,USR_00295,Party Exactly,TRK_04864,Apple Music,2025-10-14,89,False
PLE_00303,USR_00117,Party Respond,TRK_02590,Amazon Music,2021-05-20,81,True
PLE_00304,USR_00441,Sleep Including,TRK_04170,YouTube Music,2015-12-28,19,False
PLE_00305,USR_00095,Party Leader,TRK_01725,Spotify,2026-02-12,43,True
PLE_00306,USR_00252,Party Minute,TRK_00736,Spotify,2025-09-08,58,False
PLE_00307,USR_00174,Party Minute,TRK_04934,Apple Music,2025-05-18,45,True
PLE_00308,USR_00237,Vibes Major,TRK_05869,Spotify,2025-10-27,89,True
PLE_00309,USR_00350,Focus Blood,TRK_02781,YouTube Music,2021-12-07,60,False
PLE_00310,USR_00136,Vibes Major,TRK_02143,Spotify,2024-06-26,49,False
PLE_00311,USR_00206,Vibes Rich,TRK_01346,Apple Music,2026-04-12,54,True
PLE_00312,USR_00256,Chill Notice,TRK_01725,Apple Music,2025-06-11,88,False
PLE_00313,USR_00251,Workout Effort,TRK_04394,Apple Music,2026-04-27,1,True
PLE_00314,USR_00198,Vibes Attorney,TRK_00384,Spotify,2024-04-23,20,True
PLE_00315,USR_00028,Party Claim,TRK_02780,Apple Music,2025-04-21,93,True
PLE_00316,USR_00056,Mood Interesting,TRK_02727,Tidal,2024-08-16,55,True
PLE_00317,USR_00075,Chill Itself,TRK_03112,Spotify,2025-08-17,25,False
PLE_00318,USR_00204,Chill Week,TRK_02166,Apple Music,2025-10-14,80,True
PLE_00319,USR_00032,Chill Itself,TRK_05470,Spotify,2009-01-23,70,True
PLE_00320,USR_00146,Workout Stop,TRK_05108,Spotify,2022-06-17,39,True
PLE_00321,USR_00352,Focus Production,TRK_03701,Spotify,2022-08-18,34,False
