track_id,tempo_bpm,energy,danceability,valence,acousticness,loudness_db,instrumentalness,speechiness,liveness,key,mode,time_signature
TRK_00021,114,0.513,0.691,0.858,0.809,-4.02,0.136,0.042,0.468,8,1,4
TRK_00022,78,0.716,0.77,0.112,0.866,-4.25,0.188,0.032,0.414,10,0,4
TRK_00023,119,0.502,0.505,0.201,0.554,-8.54,0.116,0.16,0.061,9,1,4
TRK_00024,116,0.622,0.837,0.566,0.03,-7.76,0.097,0.052,0.094,4,1,4
TRK_00025,129,0.45,0.684,0.491,0.368,-3.94,0.11,0.075,0.255,5,0,4
TRK_00026,103,0.949,0.588,0.286,0.251,-12.99,0.138,0.009,0.204,1,1,5
TRK_00027,123,0.678,0.439,0.802,0.306,-7.94,0.325,0.142,0.147,5,0,4
TRK_00028,100,0.348,0.669,0.373,0.089,-8.45,0.098,0.126,0.053,4,1,4
TRK_00029,105,0.729,0.842,0.672,0.054,-3.54,0.03,0.104,0.248,8,0,4
TRK_00030,126,0.078,0.519,0.382,0.3,-12.65,0.176,0.064,0.129,9,1,4
TRK_00031,125,0.527,0.376,0.06,0.764,-8.8,0.019,0.055,0.314,2,1,4
TRK_00032,153,0.314,0.651,0.414,0.768,-9.78,0.097,0.076,0.2,5,1,4
TRK_00033,92,0.633,1.0,0.451,0.342,-4.83,0.147,0.72,0.416,11,1,4
TRK_00034,119,0.566,0.734,0.464,0.738,-7.1,0.14,0.041,0.272,2,0,4
TRK_00035,102,0.842,0.853,0.425,0.707,-7.51,0.045,0.295,0.147,0,1,3
TRK_00036,153,0.81,0.404,0.668,0.418,-14.1,0.01,0.218,0.01,1,1,4
TRK_00037,133,0.764,0.686,0.431,0.087,-8.01,0.167,0.0,0.06,11,0,4
TRK_00038,108,0.243,0.397,0.776,0.738,-12.88,0.056,0.092,0.119,6,0,4
TRK_00039,125,0.898,0.307,0.925,0.44,-12.83,0.072,0.104,0.476,9,1,4
TRK_00040,90,0.431,0.621,0.287,0.627,-6.45,0.114,0.229,0.216,10,0,4
TRK_00041,132,0.377,0.63,0.667,0.019,-6.98,0.017,0.085,0.236,10,1,4
TRK_00042,137,0.927,0.692,0.495,0.095,-11.17,0.003,0.015,0.086,10,1,4
TRK_00043,157,0.911,0.299,0.503,0.257,-8.3,0.164,0.025,0.082,0,0,5
TRK_00044,97,0.767,0.657,0.919,0.321,-9.88,0.277,0.385,0.085,6,1,4
TRK_00045,134,0.598,0.742,0.383,0.193,-12.46,0.034,0.034,0.048,2,1,6
TRK_00046,133,0.442,0.451,0.801,0.728,-8.31,0.285,0.09,0.037,6,1,3
TRK_00047,103,0.384,0.945,0.179,0.529,-3.82,0.078,0.222,0.024,3,0,4
TRK_00048,47,0.1,0.238,0.737,0.583,-10.0,0.223,0.085,0.018,3,0,4
TRK_00049,73,0.885,0.598,0.367,0.007,-10.73,0.061,0.36,0.146,1,1,4
TRK_00050,134,0.746,0.898,0.729,0.128,-12.91,0.006,0.031,0.019,3,0,6
TRK_00051,101,0.738,0.56,0.453,0.345,-5.94,0.19,0.24,0.116,3,0,4
TRK_00052,142,0.669,0.585,0.593,0.652,-4.34,0.044,0.161,0.392,8,0,4
TRK_00053,112,0.119,1.0,0.308,0.136,-14.68,0.012,0.079,0.162,9,0,4
TRK_00054,121,0.483,0.522,0.526,0.503,-7.12,0.024,0.016,0.059,3,0,4
TRK_00055,111,0.94,0.662,0.464,0.354,-14.0,0.166,0.07,0.219,1,0,4
TRK_00056,118,0.378,0.438,0.654,0.684,-10.2,0.023,0.008,0.392,1,1,4
TRK_00057,109,0.793,1.0,0.784,0.416,-13.4,0.03,0.844,0.441,10,0,4
TRK_00058,124,0.074,0.569,0.423,0.492,-4.34,0.04,0.023,0.004,6,1,4
TRK_00059,88,0.301,0.988,0.75,0.114,-9.29,0.056,0.668,0.05,4,1,3
TRK_00060,119,0.941,0.555,0.861,0.534,-4.66,0.021,0.672,0.096,5,1,5
TRK_00061,137,0.725,0.843,0.77,0.203,-3.64,0.049,0.017,0.119,5,1,4
TRK_00062,93,0.82,0.8,0.374,0.676,-9.43,0.152,0.342,0.315,2,1,4
TRK_00063,103,0.177,0.543,0.608,0.358,-14.05,0.025,0.03,0.421,5,0,4
TRK_00064,114,0.463,0.597,0.262,0.513,-10.13,0.066,0.001,0.097,9,1,4
TRK_00065,86,0.661,0.997,0.469,0.309,-3.41,0.069,0.77,0.002,1,1,4
TRK_00066,76,0.485,0.775,0.535,0.168,-14.58,0.104,0.803,0.095,1,1,4
TRK_00067,101,0.308,0.589,0.728,0.73,-11.28,0.026,0.171,0.037,3,1,4
TRK_00068,101,0.595,0.741,0.069,0.197,-14.84,0.024,0.185,0.108,9,1,4
TRK_00069,131,0.506,0.457,0.657,0.682,-4.34,0.05,0.214,0.036,4,1,3
TRK_00070,92,0.052,0.608,0.355,0.715,-12.47,0.035,0.007,0.847,7,0,6
TRK_00071,123,0.917,0.996,0.6,0.206,-8.46,0.085,0.149,0.004,5,0,4
TRK_00072,97,0.522,0.715,0.439,0.525,-9.91,0.398,0.01,0.109,7,0,4
TRK_00073,104,0.152,0.619,0.73,0.765,-12.4,0.066,0.13,0.421,10,1,4
TRK_00074,90,0.726,0.511,0.77,0.716,-14.77,0.065,0.047,0.146,11,0,4
TRK_00075,123,0.318,0.807,0.672,0.699,-13.55,0.054,0.033,0.278,10,0,3
TRK_00076,154,0.675,0.389,0.323,0.447,-11.36,0.118,0.312,0.416,5,1,4
TRK_00077,132,0.6,0.774,0.104,0.179,-14.65,0.067,0.109,0.008,6,1,4
TRK_00078,151,0.442,0.135,0.135,0.593,-5.92,0.145,0.001,0.024,9,1,4
TRK_00079,118,0.579,0.751,0.667,0.706,-4.5,0.046,0.059,0.177,3,0,4
TRK_00080,141,0.612,0.939,0.679,0.327,-3.89,0.001,0.25,0.032,8,1,4
TRK_00081,98,0.106,0.743,0.648,0.673,-3.86,0.284,0.023,0.342,11,1,4
TRK_00082,122,0.61,0.682,0.507,0.561,-3.61,0.005,0.135,0.087,10,1,4
TRK_00083,94,0.418,0.825,0.479,0.013,-5.78,0.001,0.613,0.178,1,1,4
TRK_00084,115,0.896,0.303,0.156,0.385,-4.46,0.008,0.002,0.181,10,0,4
TRK_00085,85,0.418,0.541,0.534,0.394,-3.16,0.005,0.084,0.166,5,1,4
TRK_00086,85,0.481,0.707,0.481,0.898,-3.77,0.062,0.018,0.16,0,0,4
TRK_00087,129,0.529,0.607,0.591,0.396,-5.33,0.038,0.029,0.133,9,0,4
TRK_00088,153,0.646,0.799,0.368,0.206,-7.14,0.055,0.062,0.11,11,1,4
TRK_00089,136,0.757,0.408,0.497,0.515,-12.08,0.003,0.034,0.46,2,1,6
TRK_00090,77,0.77,0.594,0.559,0.342,-12.37,0.009,0.068,0.064,6,1,5
TRK_00091,110,0.171,0.488,0.426,0.768,-9.06,0.063,0.234,0.146,10,1,4
TRK_00092,113,0.212,0.597,0.297,0.536,-12.8,0.05,0.026,0.148,6,0,4
TRK_00093,136,0.778,0.211,0.413,0.723,-3.18,0.21,0.187,0.442,9,0,4
TRK_00094,109,0.777,0.043,0.22,0.383,-3.77,0.174,0.423,0.086,6,1,4
TRK_00095,128,0.714,0.981,0.519,0.684,-4.33,0.033,0.095,0.094,2,1,4
TRK_00096,100,0.647,0.205,0.127,0.74,-4.43,0.077,0.087,0.359,8,1,4
TRK_00097,125,0.673,0.464,0.752,0.351,-13.7,0.12,0.257,0.006,1,1,4
TRK_00098,131,0.897,0.535,0.79,0.828,-3.07,0.001,0.1,0.086,9,1,4
TRK_00099,125,0.674,0.114,0.628,0.363,-8.04,0.061,0.003,0.357,3,1,4
TRK_00100,116,0.191,1.0,0.118,0.193,-6.32,0.002,0.223,0.095,7,0,6
TRK_00101,155,0.49,0.382,0.751,0.97,-6.91,0.03,0.049,0.578,1,0,5
TRK_00102,40,0.486,0.047,0.856,0.416,-11.66,0.049,0.166,0.067,2,1,4
TRK_00103,92,0.193,0.127,0.291,0.875,-6.24,0.083,0.076,0.105,1,0,4
TRK_00104,89,0.562,0.912,0.277,0.706,-3.83,0.097,0.107,0.1,10,1,4
TRK_00105,135,0.847,0.44,0.312,0.553,-7.74,0.085,0.112,0.297,11,0,5
TRK_00106,120,0.79,0.409,0.313,0.717,-4.93,0.046,0.01,0.075,0,0,4
TRK_00107,88,0.538,0.84,0.856,0.526,-11.01,0.062,0.666,0.009,8,1,4
TRK_00108,102,0.776,0.612,0.807,0.176,-8.04,0.024,0.513,0.198,2,0,4
TRK_00109,98,0.802,0.565,0.221,0.386,-5.72,0.013,0.048,0.086,2,0,3
TRK_00110,128,0.861,0.251,0.973,0.57,-9.66,0.031,0.011,0.156,5,0,4
TRK_00111,107,0.331,0.646,0.437,0.5,-8.72,0.004,0.006,0.148,9,0,4
TRK_00112,98,0.514,0.614,0.937,0.197,-8.27,0.175,0.731,0.205,10,1,4
TRK_00113,120,0.344,0.808,0.44,0.653,-10.89,0.035,0.037,0.334,5,1,6
TRK_00114,181,0.71,0.518,0.58,0.501,-9.7,0.06,0.108,0.056,2,1,4
TRK_00115,119,0.913,0.98,0.32,0.268,-9.92,0.069,0.132,0.132,11,1,5
TRK_00116,108,0.63,0.782,0.425,0.579,-12.11,0.058,0.295,0.176,6,0,4
TRK_00117,160,0.971,0.402,0.441,0.716,-7.31,0.206,0.021,0.189,2,0,4
TRK_00118,96,0.938,0.689,0.815,0.889,-3.77,0.167,0.118,0.234,1,1,4
TRK_00119,105,0.669,0.394,0.191,0.678,-14.19,0.409,0.02,0.003,5,1,4
TRK_00120,108,0.295,0.645,0.251,0.771,-10.28,0.032,0.159,0.033,6,0,3
TRK_00121,138,0.208,0.56,0.347,0.728,-7.51,0.125,0.195,0.256,10,0,3
TRK_00122,135,0.481,0.318,0.669,0.338,-13.17,0.149,0.208,0.114,9,0,4
TRK_00123,118,0.279,0.822,0.94,0.194,-8.22,0.071,0.176,0.11,10,1,4
TRK_00124,79,0.699,0.638,0.108,0.689,-5.19,0.026,0.149,0.204,0,0,4
TRK_00125,135,0.911,0.603,0.596,0.829,-5.22,0.176,0.101,0.302,4,0,4
TRK_00126,96,0.396,0.668,0.848,0.425,-13.96,0.005,0.072,0.171,11,0,4
TRK_00127,107,0.671,0.56,0.279,0.477,-6.95,0.098,0.009,0.082,6,0,4
TRK_00128,133,0.38,0.616,0.372,0.623,-7.08,0.199,0.383,0.03,5,0,4
TRK_00129,106,0.538,0.84,0.285,0.469,-3.4,0.103,0.131,0.096,10,0,4
TRK_00130,130,0.59,0.364,0.1,0.675,-13.7,0.05,0.41,0.082,4,0,4
TRK_00131,109,0.684,0.686,0.317,0.761,-11.98,0.08,0.111,0.19,3,0,4
TRK_00132,110,0.827,0.713,0.701,0.002,-5.88,0.141,0.487,0.031,10,1,4
TRK_00133,117,0.721,0.596,0.386,0.637,-4.74,0.0,0.042,0.241,5,1,4
TRK_00134,87,0.88,0.818,0.032,0.153,-6.45,0.225,0.826,0.095,9,1,5
TRK_00135,127,0.598,0.659,0.797,0.666,-4.23,0.247,0.004,0.038,1,1,4
TRK_00136,136,0.627,0.59,0.548,0.367,-13.53,0.057,0.127,0.038,2,0,4
TRK_00137,91,0.417,0.846,0.614,0.176,-14.12,0.135,0.174,0.363,2,1,4
TRK_00138,92,0.761,0.719,0.318,0.252,-9.5,0.003,0.259,0.401,8,1,4
TRK_00139,116,0.185,0.502,0.666,0.065,-3.79,0.003,0.041,0.212,3,1,4
TRK_00140,112,0.347,0.697,0.458,0.44,-5.66,0.286,0.038,0.035,0,1,4
TRK_00141,92,0.428,0.687,0.54,0.883,-8.45,0.028,0.167,0.119,4,1,4
TRK_00142,89,0.963,0.853,0.879,0.074,-6.37,0.113,0.699,0.162,0,0,4
TRK_00143,101,0.677,0.55,0.596,0.758,-4.14,0.0,0.15,0.016,11,0,4
TRK_00144,95,0.433,0.748,0.619,0.172,-4.49,0.047,0.136,0.116,2,0,4
TRK_00145,87,0.197,0.295,0.773,0.831,-5.86,0.044,0.018,0.015,9,1,4
TRK_00146,96,0.394,0.217,0.715,0.674,-4.55,0.084,0.024,0.24,0,0,4
TRK_00147,95,0.293,0.547,0.736,0.841,-5.04,0.142,0.022,0.068,4,1,4
TRK_00148,118,0.872,0.467,0.245,0.307,-10.74,0.182,0.038,0.131,0,1,4
TRK_00149,92,0.782,0.979,0.45,0.01,-4.78,0.328,0.967,0.23,3,0,5
TRK_00150,124,0.375,0.348,0.6,0.673,-3.39,0.031,0.123,0.244,0,0,4
TRK_00151,137,0.467,1.0,0.787,0.104,-10.32,0.111,0.063,0.065,7,1,4
TRK_00152,145,0.867,0.483,0.162,0.585,-5.52,0.018,0.078,0.37,1,0,4
TRK_00153,112,0.299,0.729,0.577,0.29,-7.43,0.047,0.202,0.067,3,1,4
TRK_00154,110,0.419,0.524,0.617,0.515,-14.92,0.079,0.095,0.065,11,0,3
TRK_00155,62,0.423,0.367,0.766,0.464,-8.0,0.042,0.045,0.004,2,1,4
TRK_00156,116,0.314,0.676,0.356,0.096,-4.52,0.012,0.166,0.066,7,0,4
TRK_00157,108,0.363,0.787,0.304,0.214,-5.66,0.12,0.214,0.148,7,1,4
TRK_00158,97,0.787,0.571,0.107,0.04,-6.55,0.156,0.485,0.013,5,1,3
TRK_00159,119,0.514,0.55,0.811,0.348,-10.46,0.257,0.015,0.211,4,1,3
TRK_00160,64,0.178,0.779,0.68,0.209,-4.36,0.028,0.021,0.259,6,0,4
TRK_00161,110,0.813,0.578,0.323,0.331,-9.73,0.087,0.014,0.318,7,0,4
TRK_00162,145,0.444,0.636,0.638,0.338,-10.97,0.066,0.0,0.165,7,1,4
TRK_00163,100,0.361,0.63,0.43,0.51,-5.19,0.027,0.038,0.334,7,0,4
TRK_00164,141,0.396,0.648,0.959,0.542,-12.82,0.047,0.204,0.302,5,1,4
TRK_00165,145,0.831,0.733,0.311,0.294,-7.22,0.042,0.071,0.087,4,0,4
TRK_00166,110,0.126,0.774,0.306,0.473,-6.38,0.034,0.063,0.012,4,1,5
TRK_00167,120,0.873,0.678,0.376,0.098,-7.03,0.092,0.078,0.302,1,0,4
TRK_00168,144,0.591,0.798,0.422,0.171,-5.85,0.188,0.002,0.039,6,1,4
TRK_00169,115,0.51,0.789,0.495,0.681,-12.8,0.207,0.113,0.105,6,0,4
TRK_00170,119,0.593,0.768,0.174,0.712,-11.23,0.045,0.015,0.208,5,0,4
TRK_00171,121,0.269,1.0,0.512,0.506,-4.13,0.054,0.002,0.284,9,0,4
TRK_00172,100,0.319,0.536,0.72,0.793,-7.89,0.089,0.103,0.287,9,0,3
TRK_00173,112,0.741,0.718,0.832,0.138,-5.24,0.029,0.317,0.14,9,1,4
TRK_00174,123,0.364,0.685,0.665,0.388,-14.91,0.227,0.132,0.363,2,1,4
TRK_00175,83,0.679,0.648,0.458,0.617,-3.51,0.199,0.126,0.416,11,0,4
TRK_00176,120,0.39,0.774,0.171,0.25,-10.62,0.067,0.279,0.077,2,0,4
TRK_00177,120,0.375,0.957,0.429,0.453,-11.46,0.182,0.235,0.456,5,0,4
TRK_00178,72,0.65,0.418,0.481,0.842,-10.47,0.021,0.016,0.205,10,0,4
TRK_00179,144,0.701,0.463,0.497,0.446,-5.53,0.072,0.258,0.071,3,1,4
TRK_00180,140,0.333,0.993,0.787,0.616,-8.13,0.013,0.259,0.013,3,0,3
TRK_00181,116,0.567,0.896,0.274,0.105,-13.28,0.042,0.111,0.216,9,0,4
TRK_00182,100,0.479,0.176,0.563,0.707,-6.23,0.121,0.088,0.105,6,0,4
TRK_00183,74,0.916,0.816,0.887,0.08,-7.61,0.023,0.523,0.119,7,1,4
TRK_00184,140,0.156,0.038,0.361,0.564,-8.42,0.073,0.281,0.04,8,0,4
TRK_00185,78,0.333,0.97,0.495,0.886,-13.22,0.05,0.227,0.429,4,1,4
TRK_00186,99,0.154,0.509,0.534,0.342,-14.63,0.055,0.07,0.017,7,0,4
TRK_00187,133,0.706,0.697,0.682,0.8,-5.16,0.237,0.079,0.2,3,0,4
TRK_00188,139,0.448,0.666,0.162,0.349,-6.05,0.016,0.097,0.032,2,0,4
TRK_00189,140,0.212,0.424,0.636,0.297,-13.92,0.29,0.019,0.434,3,1,4
TRK_00190,124,0.873,0.73,0.602,0.768,-7.68,0.025,0.18,0.287,1,0,4
TRK_00191,111,0.624,0.936,0.809,0.108,-7.34,0.079,0.172,0.276,2,1,3
TRK_00192,95,0.116,0.729,0.338,0.639,-9.29,0.163,0.177,0.054,5,0,4
TRK_00193,135,0.805,0.52,0.185,0.181,-7.46,0.175,0.045,0.03,9,1,6
TRK_00194,131,0.783,0.814,0.06,0.212,-13.24,0.024,0.043,0.448,5,1,4
TRK_00195,119,0.694,0.685,0.338,0.645,-14.77,0.231,0.095,0.084,10,0,4
TRK_00196,103,0.619,0.586,0.116,0.393,-11.71,0.21,0.107,0.018,4,0,4
TRK_00197,87,0.297,0.726,0.616,0.066,-8.34,0.065,0.073,0.333,1,0,4
TRK_00198,59,0.355,0.874,0.688,0.489,-13.15,0.101,0.088,0.107,6,0,4
TRK_00199,128,0.876,0.629,0.247,0.172,-8.29,0.069,0.025,0.336,2,0,4
TRK_00200,133,0.484,0.741,0.51,0.158,-10.66,0.087,0.091,0.336,11,1,4
TRK_00201,129,0.907,0.855,0.284,0.148,-12.91,0.077,0.04,0.516,10,1,4
TRK_00202,128,0.718,0.254,0.633,0.584,-8.83,0.097,0.088,0.039,9,0,4
TRK_00203,141,0.608,0.627,0.623,0.753,-13.5,0.149,0.233,0.223,0,0,6
TRK_00204,123,0.59,0.647,0.466,0.335,-6.1,0.229,0.118,0.169,11,1,4
TRK_00205,88,0.131,0.549,0.573,0.766,-6.14,0.039,0.074,0.229,4,0,4
TRK_00206,121,0.673,0.701,0.757,0.749,-4.99,0.001,0.128,0.006,6,1,4
TRK_00207,90,0.369,0.876,0.357,0.902,-11.59,0.033,0.024,0.03,3,1,4
TRK_00208,92,0.38,0.532,0.686,0.891,-14.88,0.1,0.078,0.218,4,1,4
TRK_00209,129,0.539,0.489,0.799,0.396,-11.49,0.016,0.009,0.124,4,0,6
TRK_00210,135,0.851,0.342,0.758,0.804,-5.63,0.092,0.16,0.493,2,1,4
TRK_00211,148,0.802,0.231,0.803,0.572,-11.77,0.253,0.164,0.191,9,0,3
TRK_00212,135,0.116,0.846,0.486,0.102,-10.27,0.024,0.079,0.151,4,0,4
TRK_00213,110,0.491,0.457,0.239,0.685,-8.53,0.021,0.016,0.038,2,0,4
TRK_00214,112,0.589,0.716,0.696,0.401,-6.7,0.209,0.086,0.051,10,0,4
TRK_00215,92,0.681,0.949,0.52,0.277,-6.71,0.125,0.247,0.055,7,0,6
TRK_00216,146,0.612,1.0,0.37,0.247,-13.42,0.09,0.111,0.606,2,1,6
TRK_00217,113,0.611,1.0,0.075,0.037,-5.09,0.065,0.786,0.177,6,0,4
TRK_00218,106,0.536,0.971,0.322,0.47,-9.91,0.197,0.153,0.023,5,0,6
TRK_00219,142,0.699,0.079,0.817,0.795,-6.28,0.038,0.059,0.157,7,0,4
TRK_00220,124,0.586,0.909,0.238,0.549,-12.57,0.035,0.313,0.154,10,1,4
TRK_00221,94,0.422,0.575,0.879,0.611,-6.95,0.054,0.143,0.04,8,1,4
TRK_00222,153,0.75,0.234,0.837,0.76,-6.19,0.123,0.029,0.138,10,1,4
TRK_00223,97,0.202,0.348,0.866,0.517,-6.94,0.069,0.061,0.04,1,0,4
TRK_00224,104,0.546,0.888,0.769,0.655,-4.72,0.082,0.337,0.107,9,0,4
TRK_00225,132,0.718,0.999,0.551,0.139,-10.64,0.108,0.042,0.169,3,1,4
TRK_00226,118,0.436,0.504,0.435,0.735,-5.79,0.036,0.204,0.334,3,0,4
TRK_00227,118,0.867,0.758,0.527,0.175,-3.13,0.149,0.146,0.392,0,0,4
TRK_00228,122,0.515,0.887,0.307,0.752,-8.14,0.352,0.211,0.091,9,0,5
TRK_00229,199,0.712,0.412,0.333,0.91,-13.4,0.164,0.0,0.064,0,1,4
TRK_00230,107,0.722,0.666,0.254,0.672,-12.78,0.029,0.009,0.194,3,0,4
TRK_00231,115,0.837,0.367,0.662,0.43,-3.11,0.113,0.146,0.256,5,1,4
TRK_00232,90,0.107,0.306,0.726,0.95,-8.53,0.007,0.438,0.168,10,1,4
TRK_00233,65,0.307,0.286,0.677,0.948,-8.87,0.021,0.032,0.097,7,1,4
TRK_00234,116,0.841,0.461,0.276,0.469,-8.92,0.022,0.026,0.307,4,1,4
TRK_00235,97,0.225,0.789,0.475,0.406,-3.89,0.007,0.183,0.042,5,1,4
TRK_00236,121,0.452,0.764,0.827,0.373,-12.36,0.12,0.178,0.02,1,1,4
TRK_00237,145,0.453,0.595,0.42,0.583,-8.91,0.011,0.04,0.226,2,1,4
TRK_00238,97,0.475,0.543,0.434,0.335,-3.64,0.124,0.096,0.022,7,0,4
TRK_00239,88,0.974,0.36,0.765,0.167,-4.84,0.041,0.411,0.441,3,1,4
TRK_00240,109,0.629,0.628,0.511,0.619,-4.33,0.052,0.09,0.286,4,1,4
TRK_00241,106,0.069,0.498,0.152,0.933,-5.55,0.116,0.124,0.155,10,0,4
TRK_00242,85,0.722,0.871,0.533,0.373,-5.67,0.114,0.809,0.306,3,0,4
TRK_00243,133,0.649,0.667,0.716,0.602,-13.73,0.265,0.064,0.163,11,1,4
TRK_00244,114,0.354,0.246,0.625,0.773,-7.44,0.48,0.031,0.164,6,1,4
TRK_00245,90,0.571,0.641,0.603,0.649,-10.1,0.1,0.251,0.258,10,1,4
TRK_00246,117,0.753,0.741,0.185,0.295,-8.84,0.031,0.1,0.141,8,1,6
TRK_00247,100,0.226,0.481,0.582,0.766,-6.35,0.198,0.015,0.349,1,1,4
TRK_00248,124,0.366,0.647,0.642,0.583,-7.2,0.016,0.041,0.02,4,1,4
TRK_00249,117,0.491,0.794,0.495,0.663,-9.84,0.011,0.09,0.019,11,0,4
TRK_00250,119,0.686,0.75,0.847,0.201,-10.46,0.012,0.242,0.251,5,0,4
TRK_00251,55,0.306,0.156,0.098,0.879,-8.94,0.018,0.119,0.001,7,1,5
TRK_00252,95,0.353,0.406,0.323,0.674,-10.92,0.036,0.021,0.176,7,0,4
TRK_00253,105,0.335,0.75,0.703,0.641,-13.7,0.145,0.044,0.044,5,0,3
TRK_00254,105,0.311,0.313,0.878,0.8,-12.04,0.266,0.049,0.053,8,1,4
TRK_00255,85,0.782,0.74,0.843,0.635,-13.68,0.025,0.055,0.072,1,1,4
TRK_00256,104,0.517,0.724,0.533,0.661,-6.42,0.088,0.399,0.219,6,1,4
TRK_00257,140,0.468,0.721,0.186,0.126,-3.56,0.267,0.156,0.097,5,1,4
TRK_00258,90,0.16,0.174,0.693,0.815,-6.28,0.088,0.015,0.198,9,1,4
TRK_00259,134,0.63,0.562,0.495,0.578,-14.47,0.038,0.211,0.084,5,1,4
TRK_00260,118,0.441,0.806,0.609,0.188,-3.03,0.025,0.128,0.197,0,0,4
TRK_00261,95,0.181,0.674,0.446,0.784,-13.94,0.135,0.301,0.222,10,0,4
TRK_00262,154,0.699,0.855,0.113,0.255,-11.13,0.007,0.042,0.02,11,0,4
TRK_00263,120,0.726,0.712,0.625,0.718,-9.66,0.066,0.068,0.153,7,1,4
TRK_00264,130,0.327,0.629,0.665,0.572,-8.18,0.013,0.063,0.281,2,0,4
TRK_00265,90,0.007,0.869,0.305,0.727,-6.48,0.125,0.119,0.137,9,1,4
TRK_00266,112,0.821,0.907,0.141,0.471,-6.4,0.102,0.049,0.118,11,1,4
TRK_00267,106,0.575,0.635,0.297,0.377,-4.31,0.314,0.132,0.163,8,1,3
TRK_00268,107,0.355,0.912,0.501,0.914,-10.04,0.034,0.032,0.19,10,0,4
TRK_00269,134,0.83,0.662,0.55,0.573,-7.67,0.049,0.001,0.112,1,0,4
TRK_00270,130,0.138,0.553,0.484,0.731,-4.85,0.03,0.036,0.05,9,0,4
TRK_00271,127,0.767,0.678,0.664,0.873,-6.29,0.097,0.151,0.018,2,0,3
TRK_00272,124,0.515,0.816,0.491,0.314,-6.91,0.144,0.149,0.178,5,0,4
TRK_00273,132,0.794,0.894,0.704,0.762,-6.78,0.046,0.184,0.001,11,1,4
TRK_00274,98,0.679,0.611,0.49,0.908,-3.56,0.134,0.023,0.074,5,1,4
TRK_00275,132,0.905,0.234,0.706,0.78,-9.43,0.007,0.051,0.157,7,1,3
TRK_00276,118,0.681,0.557,0.29,0.212,-9.76,0.02,0.141,0.079,11,0,4
TRK_00277,80,0.746,0.654,0.499,0.355,-11.22,0.179,0.303,0.166,7,0,4
TRK_00278,142,0.678,0.877,0.084,0.125,-8.06,0.073,0.076,0.133,3,1,4
TRK_00279,135,0.794,0.58,0.621,0.125,-3.05,0.174,0.29,0.087,6,1,5
TRK_00280,175,0.164,0.474,0.574,0.793,-10.35,0.021,0.273,0.18,0,1,4
TRK_00281,107,0.539,0.49,0.511,0.165,-7.56,0.12,0.048,0.033,1,1,5
TRK_00282,70,0.396,0.705,0.321,0.841,-6.06,0.029,0.328,0.04,2,1,4
TRK_00283,109,0.611,0.862,0.671,0.414,-4.17,0.051,0.107,0.386,4,0,5
TRK_00284,107,0.624,0.864,0.234,0.555,-8.56,0.033,0.136,0.245,0,0,4
TRK_00285,130,0.56,0.891,0.479,0.145,-5.22,0.069,0.002,0.013,9,1,4
TRK_00286,102,0.341,0.55,0.385,0.785,-12.93,0.126,0.057,0.231,0,0,4
TRK_00287,89,0.647,0.677,0.469,0.099,-6.92,0.104,0.611,0.278,3,1,4
TRK_00288,117,0.492,0.875,0.829,0.796,-3.41,0.016,0.293,0.12,2,0,5
TRK_00289,90,0.405,0.366,0.736,0.237,-10.05,0.18,0.011,0.048,9,0,4
