royalty_id,track_id,artist_id,label_id,quarter,streams_credited,rate_per_stream,gross_revenue_usd,label_cut_usd,artist_payout_usd
ROY_00018,TRK_03131,ART_0532,LBL_0026,Q1-2024,3150000,0.00398,12537.0,8775.9,3761.1
ROY_00019,TRK_02537,ART_0350,LBL_0047,Q1-2024,775000,0.0065,5037.5,3526.25,1511.25
ROY_00020,TRK_04156,ART_0650,LBL_0035,Q2-2023,1975000,0.00525,10368.75,7258.12,3110.62
ROY_00021,TRK_00402,ART_0052,LBL_0040,Q1-2023,1025000,0.00469,4807.25,3365.07,1442.17
ROY_00022,TRK_05095,ART_0048,LBL_0046,Q1-2024,1200000,0.00363,4356.0,3049.2,1306.8
ROY_00023,TRK_02451,ART_0014,LBL_0001,Q1-2023,1274999,0.00456,5814.0,4069.8,1744.2
ROY_00024,TRK_04280,ART_0351,LBL_0007,Q3-2024,2325000,0.00393,9137.25,6396.07,2741.17
ROY_00025,TRK_00639,ART_0557,LBL_0008,Q3-2024,1050000,0.00524,5502.0,3851.4,1650.6
ROY_00026,TRK_03688,ART_0217,LBL_0040,Q1-2024,900000,0.00469,4221.0,2954.7,1266.3
ROY_00027,TRK_03001,ART_0483,LBL_0015,Q2-2023,1050000,0.00623,6541.5,4579.05,1962.45
ROY_00028,TRK_00173,ART_0659,LBL_0011,Q3-2024,4975000,0.00579,28805.25,20163.67,8641.57
ROY_00029,TRK_01479,ART_0232,LBL_0011,Q1-2023,1050000,0.00579,6079.5,4255.65,1823.85
ROY_00030,TRK_05620,ART_0628,LBL_0023,Q4-2024,775000,0.00365,2828.75,1980.12,848.62
ROY_00031,TRK_01001,ART_0344,LBL_0025,Q2-2024,1100000,0.00554,6094.0,4265.8,1828.2
ROY_00032,TRK_00219,ART_0549,LBL_0044,Q3-2023,925000,0.00654,6049.5,4234.65,1814.85
ROY_00033,TRK_00808,ART_0567,LBL_0032,Q2-2023,850000,0.00426,3621.0,2534.7,1086.3
ROY_00034,TRK_02440,ART_0347,LBL_0049,Q1-2024,3150000,0.00648,20412.0,14288.4,6123.6
ROY_00035,TRK_00274,ART_0134,LBL_0038,Q1-2024,900000,0.00497,4473.0,3131.1,1341.9
ROY_00036,TRK_02379,ART_0296,LBL_0016,Q2-2024,1375000,0.0035,4812.5,3368.75,1443.75
ROY_00037,TRK_05947,ART_0437,LBL_0003,Q1-2023,800000,0.0047,3760.0,2632.0,1128.0
ROY_00038,TRK_04587,ART_0373,LBL_0016,Q4-2024,5850000,0.0035,20475.0,14332.5,6142.5
ROY_00039,TRK_02107,ART_0564,LBL_0029,Q3-2023,5275000,0.00392,20678.0,14474.6,6203.4
ROY_00040,TRK_04977,ART_0295,LBL_0015,Q1-2023,2725000,0.00623,16976.75,11883.72,5093.02
ROY_00041,TRK_04258,ART_0187,LBL_0020,Q1-2023,775000,0.00565,4378.75,3065.12,1313.62
ROY_00042,TRK_00432,ART_0109,LBL_0048,Q2-2024,2750000,0.00605,16637.5,11646.25,4991.25
ROY_00043,TRK_02196,ART_0674,LBL_0002,Q1-2024,1875000,0.00538,10087.5,7061.25,3026.25
ROY_00044,TRK_03620,ART_0309,LBL_0019,Q4-2023,4450000,0.00377,16776.5,11743.55,5032.95
ROY_00045,TRK_01976,ART_0651,LBL_0026,Q2-2023,4450000,0.00398,17711.0,12397.7,5313.3
ROY_00046,TRK_01732,ART_0685,LBL_0045,Q3-2023,800000,0.00436,3488.0,2441.6,1046.4
ROY_00047,TRK_05768,ART_0109,LBL_0048,Q4-2024,1100000,0.00605,6655.0,4658.5,1996.5
ROY_00048,TRK_00135,ART_0439,LBL_0002,Q2-2024,875000,0.00538,4707.5,3295.25,1412.25
ROY_00049,TRK_01452,ART_0299,LBL_0010,Q4-2024,1074999,0.00624,6707.99,4695.6,2012.4
ROY_00050,TRK_03656,ART_0465,LBL_0037,Q3-2023,875000,0.00445,3893.75,2725.62,1168.12
ROY_00051,TRK_04035,ART_0190,LBL_0033,Q4-2023,1250000,0.00654,8175.0,5722.5,2452.5
ROY_00052,TRK_05093,ART_0351,LBL_0007,Q3-2023,1100000,0.00393,4323.0,3026.1,1296.9
ROY_00053,TRK_03632,ART_0500,LBL_0021,Q3-2023,1125000,0.00642,7222.5,5055.75,2166.75
ROY_00054,TRK_04996,ART_0649,LBL_0048,Q2-2023,1225000,0.00605,7411.25,5187.88,2223.38
ROY_00055,TRK_04455,ART_0068,LBL_0037,Q2-2023,6950000,0.00445,30927.5,21649.25,9278.25
ROY_00056,TRK_03998,ART_0415,LBL_0038,Q4-2024,1000000,0.00497,4970.0,3479.0,1491.0
ROY_00057,TRK_01676,ART_0073,LBL_0028,Q1-2023,1450000,0.00523,7583.5,5308.45,2275.05
ROY_00058,TRK_00334,ART_0460,LBL_0024,Q4-2024,1000000,0.00568,5680.0,3976.0,1704.0
ROY_00059,TRK_01517,ART_0007,LBL_0038,Q3-2023,7975000,0.00497,39635.75,27745.02,11890.73
ROY_00060,TRK_02356,ART_0073,LBL_0028,Q1-2024,1650000,0.00523,8629.5,6040.65,2588.85
ROY_00061,TRK_01276,ART_0096,LBL_0045,Q4-2023,900000,0.00436,3924.0,2746.8,1177.2
ROY_00062,TRK_04028,ART_0160,LBL_0039,Q3-2024,2174999,0.00361,7851.75,5496.22,2355.52
ROY_00063,TRK_00247,ART_0658,LBL_0029,Q4-2023,800000,0.00392,3136.0,2195.2,940.8
ROY_00064,TRK_01936,ART_0060,LBL_0022,Q4-2024,1625000,0.00411,6678.75,4675.12,2003.62
ROY_00065,TRK_05816,ART_0423,LBL_0026,Q1-2024,3300000,0.00398,13134.0,9193.8,3940.2
ROY_00066,TRK_01643,ART_0437,LBL_0003,Q3-2023,1175000,0.0047,5522.5,3865.75,1656.75
ROY_00067,TRK_01719,ART_0409,LBL_0021,Q4-2024,975000,0.00642,6259.5,4381.65,1877.85
ROY_00068,TRK_01028,ART_0347,LBL_0049,Q3-2023,3075000,0.00648,19926.0,13948.2,5977.8
ROY_00069,TRK_00931,ART_0233,LBL_0019,Q3-2024,775000,0.00377,2921.75,2045.22,876.52
ROY_00070,TRK_01723,ART_0581,LBL_0049,Q4-2024,2325000,0.00648,15066.0,10546.2,4519.8
ROY_00071,TRK_00880,ART_0359,LBL_0040,Q4-2023,1774999,0.00469,8324.75,5827.32,2497.42
ROY_00072,TRK_03921,ART_0407,LBL_0005,Q4-2023,2575000,0.00673,17329.75,12130.82,5198.93
ROY_00073,TRK_01840,ART_0073,LBL_0028,Q4-2023,825000,0.00523,4314.75,3020.32,1294.42
ROY_00074,TRK_00940,ART_0347,LBL_0049,Q3-2024,2750000,0.00648,17820.0,12474.0,5346.0
ROY_00075,TRK_00265,ART_0155,LBL_0005,Q4-2023,850000,0.00673,5720.5,4004.35,1716.15
ROY_00076,TRK_01078,ART_0426,LBL_0042,Q3-2023,1175000,0.00401,4711.75,3298.22,1413.52
ROY_00077,TRK_04014,ART_0460,LBL_0024,Q2-2024,1425000,0.00568,8094.0,5665.8,2428.2
ROY_00078,TRK_02287,ART_0677,LBL_0005,Q4-2024,3850000,0.00673,25910.5,18137.35,7773.15
ROY_00079,TRK_03964,ART_0001,LBL_0010,Q2-2024,1225000,0.00624,7644.0,5350.8,2293.2
ROY_00080,TRK_03222,ART_0551,LBL_0019,Q1-2024,1074999,0.00377,4052.75,2836.92,1215.82
ROY_00081,TRK_04151,ART_0341,LBL_0008,Q2-2023,1475000,0.00524,7729.0,5410.3,2318.7
ROY_00082,TRK_04973,ART_0045,LBL_0043,Q4-2023,1100000,0.00572,6292.0,4404.4,1887.6
ROY_00083,TRK_00145,ART_0291,LBL_0018,Q2-2023,1550000,0.00654,10137.0,7095.9,3041.1
ROY_00084,TRK_04441,ART_0401,LBL_0011,Q2-2023,925000,0.00579,5355.75,3749.02,1606.72
ROY_00085,TRK_04371,ART_0189,LBL_0013,Q3-2023,950000,0.00337,3201.5,2241.05,960.45
ROY_00086,TRK_01735,ART_0555,LBL_0049,Q3-2023,1074999,0.00648,6965.99,4876.2,2089.8
ROY_00087,TRK_01687,ART_0220,LBL_0039,Q3-2023,1050000,0.00361,3790.5,2653.35,1137.15
ROY_00088,TRK_03671,ART_0341,LBL_0008,Q4-2023,1375000,0.00524,7205.0,5043.5,2161.5
ROY_00089,TRK_02161,ART_0259,LBL_0030,Q4-2024,825000,0.0046,3795.0,2656.5,1138.5
ROY_00090,TRK_02256,ART_0611,LBL_0050,Q3-2023,2300000,0.00503,11569.0,8098.3,3470.7
ROY_00091,TRK_03131,ART_0532,LBL_0026,Q4-2023,3150000,0.00398,12537.0,8775.9,3761.1
ROY_00092,TRK_00879,ART_0103,LBL_0030,Q4-2023,925000,0.0046,4255.0,2978.5,1276.5
ROY_00093,TRK_03597,ART_0122,LBL_0038,Q1-2024,800000,0.00497,3976.0,2783.2,1192.8
ROY_00094,TRK_03783,ART_0093,LBL_0044,Q1-2023,7750000,0.00654,50685.0,35479.5,15205.5
ROY_00095,TRK_04958,ART_0437,LBL_0003,Q3-2023,850000,0.0047,3995.0,2796.5,1198.5
ROY_00096,TRK_03748,ART_0046,LBL_0044,Q3-2024,1750000,0.00654,11445.0,8011.5,3433.5
ROY_00097,TRK_02698,ART_0189,LBL_0013,Q2-2024,875000,0.00337,2948.75,2064.12,884.62
ROY_00098,TRK_05034,ART_0092,LBL_0019,Q1-2024,1650000,0.00377,6220.5,4354.35,1866.15
ROY_00099,TRK_05667,ART_0154,LBL_0047,Q2-2024,13325000,0.0065,86612.5,60628.75,25983.75
ROY_00100,TRK_01623,ART_0283,LBL_0009,Q1-2024,1375000,0.00388,5335.0,3734.5,1600.5
ROY_00101,TRK_01707,ART_0011,LBL_0047,Q1-2024,1400000,0.0065,9100.0,6370.0,2730.0
ROY_00102,TRK_00831,ART_0462,LBL_0006,Q4-2024,1575000,0.00313,4929.75,3450.82,1478.92
ROY_00103,TRK_05564,ART_0362,LBL_0019,Q4-2024,800000,0.00377,3016.0,2111.2,904.8
ROY_00104,TRK_00867,ART_0203,LBL_0039,Q4-2023,2174999,0.00361,7851.75,5496.22,2355.52
ROY_00105,TRK_00972,ART_0142,LBL_0006,Q4-2023,1700000,0.00313,5321.0,3724.7,1596.3
ROY_00106,TRK_01226,ART_0657,LBL_0021,Q1-2024,2725000,0.00642,17494.5,12246.15,5248.35
ROY_00107,TRK_03255,ART_0514,LBL_0019,Q4-2023,900000,0.00377,3393.0,2375.1,1017.9
ROY_00108,TRK_02964,ART_0270,LBL_0020,Q2-2024,1150000,0.00565,6497.5,4548.25,1949.25
ROY_00109,TRK_02263,ART_0609,LBL_0039,Q4-2024,4275000,0.00361,15432.75,10802.92,4629.82
ROY_00110,TRK_03896,ART_0331,LBL_0007,Q4-2023,1325000,0.00393,5207.25,3645.07,1562.17
ROY_00111,TRK_03013,ART_0162,LBL_0006,Q2-2024,1100000,0.00313,3443.0,2410.1,1032.9
ROY_00112,TRK_00541,ART_0176,LBL_0030,Q4-2023,875000,0.0046,4025.0,2817.5,1207.5
ROY_00113,TRK_05882,ART_0043,LBL_0026,Q2-2023,1550000,0.00398,6169.0,4318.3,1850.7
ROY_00114,TRK_00640,ART_0212,LBL_0042,Q3-2024,1200000,0.00401,4812.0,3368.4,1443.6
ROY_00115,TRK_02004,ART_0611,LBL_0050,Q2-2023,2149999,0.00503,10814.49,7570.15,3244.35
ROY_00116,TRK_00857,ART_0567,LBL_0032,Q3-2024,2450000,0.00426,10437.0,7305.9,3131.1
ROY_00117,TRK_01518,ART_0387,LBL_0041,Q3-2024,775000,0.00453,3510.75,2457.52,1053.22
ROY_00118,TRK_04237,ART_0393,LBL_0025,Q3-2024,900000,0.00554,4986.0,3490.2,1495.8
ROY_00119,TRK_02710,ART_0564,LBL_0029,Q2-2024,875000,0.00392,3430.0,2401.0,1029.0
ROY_00120,TRK_05086,ART_0381,LBL_0006,Q1-2023,8550000,0.00313,26761.5,18733.05,8028.45
ROY_00121,TRK_02150,ART_0007,LBL_0038,Q2-2023,2825000,0.00497,14040.25,9828.17,4212.07
ROY_00122,TRK_04980,ART_0418,LBL_0009,Q4-2024,1375000,0.00388,5335.0,3734.5,1600.5
ROY_00123,TRK_00548,ART_0664,LBL_0035,Q2-2023,3375000,0.00525,17718.75,12403.12,5315.62
ROY_00124,TRK_03977,ART_0123,LBL_0019,Q4-2023,3875000,0.00377,14608.75,10226.12,4382.62
ROY_00125,TRK_05496,ART_0593,LBL_0048,Q4-2023,2600000,0.00605,15730.0,11011.0,4719.0
ROY_00126,TRK_01398,ART_0381,LBL_0006,Q3-2024,1575000,0.00313,4929.75,3450.82,1478.92
ROY_00127,TRK_00994,ART_0648,LBL_0047,Q2-2024,825000,0.0065,5362.5,3753.75,1608.75
ROY_00128,TRK_02046,ART_0157,LBL_0027,Q2-2023,4150000,0.00408,16932.0,11852.4,5079.6
ROY_00129,TRK_01234,ART_0073,LBL_0028,Q1-2024,2750000,0.00523,14382.5,10067.75,4314.75
ROY_00130,TRK_00681,ART_0013,LBL_0029,Q1-2023,1774999,0.00392,6958.0,4870.6,2087.4
ROY_00131,TRK_04309,ART_0255,LBL_0011,Q4-2023,11175000,0.00579,64703.25,45292.27,19410.97
ROY_00132,TRK_04427,ART_0381,LBL_0006,Q2-2023,1000000,0.00313,3130.0,2191.0,939.0
ROY_00133,TRK_00463,ART_0212,LBL_0042,Q4-2023,950000,0.00401,3809.5,2666.65,1142.85
ROY_00134,TRK_02685,ART_0437,LBL_0003,Q3-2023,825000,0.0047,3877.5,2714.25,1163.25
ROY_00135,TRK_00133,ART_0321,LBL_0015,Q3-2023,900000,0.00623,5607.0,3924.9,1682.1
ROY_00136,TRK_00782,ART_0109,LBL_0048,Q2-2023,1375000,0.00605,8318.75,5823.12,2495.62
ROY_00137,TRK_05871,ART_0549,LBL_0044,Q4-2024,800000,0.00654,5232.0,3662.4,1569.6
ROY_00138,TRK_01375,ART_0377,LBL_0014,Q3-2023,2075000,0.00639,13259.25,9281.47,3977.77
ROY_00139,TRK_05146,ART_0437,LBL_0003,Q3-2024,1425000,0.0047,6697.5,4688.25,2009.25
ROY_00140,TRK_04700,ART_0405,LBL_0001,Q1-2023,1925000,0.00456,8778.0,6144.6,2633.4
ROY_00141,TRK_05798,ART_0458,LBL_0011,Q3-2024,6225000,0.00579,36042.75,25229.92,10812.82
ROY_00142,TRK_03299,ART_0483,LBL_0015,Q3-2024,1100000,0.00623,6853.0,4797.1,2055.9
ROY_00143,TRK_02562,ART_0050,LBL_0030,Q1-2023,775000,0.0046,3565.0,2495.5,1069.5
ROY_00144,TRK_04560,ART_0404,LBL_0050,Q1-2023,1400000,0.00503,7042.0,4929.4,2112.6
ROY_00145,TRK_03820,ART_0079,LBL_0036,Q3-2024,3000000,0.00534,16020.0,11214.0,4806.0
ROY_00146,TRK_04903,ART_0691,LBL_0021,Q3-2024,850000,0.00642,5457.0,3819.9,1637.1
ROY_00147,TRK_04873,ART_0126,LBL_0018,Q4-2024,1400000,0.00654,9156.0,6409.2,2746.8
ROY_00148,TRK_01896,ART_0634,LBL_0034,Q3-2024,825000,0.00406,3349.5,2344.65,1004.85
ROY_00149,TRK_03420,ART_0045,LBL_0043,Q2-2023,1000000,0.00572,5720.0,4004.0,1716.0
ROY_00150,TRK_03517,ART_0317,LBL_0018,Q2-2024,1050000,0.00654,6867.0,4806.9,2060.1
ROY_00151,TRK_03504,ART_0563,LBL_0031,Q2-2023,2975000,0.00665,19783.75,13848.62,5935.12
ROY_00152,TRK_00514,ART_0230,LBL_0042,Q1-2023,1774999,0.00401,7117.75,4982.42,2135.32
ROY_00153,TRK_00764,ART_0515,LBL_0013,Q1-2024,17000000,0.00337,57290.0,40103.0,17187.0
ROY_00154,TRK_03551,ART_0547,LBL_0013,Q4-2023,800000,0.00337,2696.0,1887.2,808.8
ROY_00155,TRK_03212,ART_0394,LBL_0050,Q4-2023,1025000,0.00503,5155.75,3609.02,1546.72
ROY_00156,TRK_01939,ART_0335,LBL_0011,Q4-2023,900000,0.00579,5211.0,3647.7,1563.3
ROY_00157,TRK_00864,ART_0381,LBL_0006,Q4-2024,2174999,0.00313,6807.75,4765.42,2042.32
ROY_00158,TRK_02248,ART_0424,LBL_0009,Q3-2023,775000,0.00388,3007.0,2104.9,902.1
ROY_00159,TRK_03783,ART_0093,LBL_0044,Q3-2024,7750000,0.00654,50685.0,35479.5,15205.5
ROY_00160,TRK_03718,ART_0473,LBL_0045,Q3-2024,875000,0.00436,3815.0,2670.5,1144.5
ROY_00161,TRK_01149,ART_0597,LBL_0037,Q3-2023,875000,0.00445,3893.75,2725.62,1168.12
ROY_00162,TRK_00332,ART_0375,LBL_0045,Q2-2023,2825000,0.00436,12317.0,8621.9,3695.1
ROY_00163,TRK_05108,ART_0500,LBL_0021,Q1-2023,1425000,0.00642,9148.5,6403.95,2744.55
ROY_00164,TRK_05133,ART_0601,LBL_0043,Q2-2024,950000,0.00572,5434.0,3803.8,1630.2
ROY_00165,TRK_04733,ART_0494,LBL_0044,Q4-2023,1000000,0.00654,6540.0,4578.0,1962.0
ROY_00166,TRK_01027,ART_0466,LBL_0011,Q3-2024,1600000,0.00579,9264.0,6484.8,2779.2
ROY_00167,TRK_05518,ART_0010,LBL_0027,Q2-2023,1774999,0.00408,7242.0,5069.4,2172.6
ROY_00168,TRK_05008,ART_0283,LBL_0009,Q3-2024,1125000,0.00388,4365.0,3055.5,1309.5
ROY_00169,TRK_02316,ART_0358,LBL_0023,Q2-2023,1000000,0.00365,3650.0,2555.0,1095.0
ROY_00170,TRK_05901,ART_0030,LBL_0038,Q2-2024,900000,0.00497,4473.0,3131.1,1341.9
ROY_00171,TRK_00545,ART_0132,LBL_0008,Q3-2024,1150000,0.00524,6026.0,4218.2,1807.8
ROY_00172,TRK_01766,ART_0441,LBL_0050,Q1-2024,1150000,0.00503,5784.5,4049.15,1735.35
ROY_00173,TRK_05584,ART_0407,LBL_0005,Q2-2024,1250000,0.00673,8412.5,5888.75,2523.75
ROY_00174,TRK_03707,ART_0578,LBL_0036,Q3-2023,850000,0.00534,4539.0,3177.3,1361.7
ROY_00175,TRK_01153,ART_0202,LBL_0020,Q3-2024,850000,0.00565,4802.5,3361.75,1440.75
ROY_00176,TRK_04712,ART_0087,LBL_0010,Q4-2024,1175000,0.00624,7332.0,5132.4,2199.6
ROY_00177,TRK_03426,ART_0381,LBL_0006,Q3-2024,2350000,0.00313,7355.5,5148.85,2206.65
ROY_00178,TRK_03568,ART_0347,LBL_0049,Q1-2023,1274999,0.00648,8261.99,5783.4,2478.6
ROY_00179,TRK_03217,ART_0225,LBL_0006,Q1-2023,2625000,0.00313,8216.25,5751.38,2464.88
ROY_00180,TRK_01699,ART_0267,LBL_0031,Q1-2023,1125000,0.00665,7481.25,5236.88,2244.38
ROY_00181,TRK_01196,ART_0664,LBL_0035,Q3-2023,1100000,0.00525,5775.0,4042.5,1732.5
ROY_00182,TRK_02529,ART_0486,LBL_0030,Q1-2023,975000,0.0046,4485.0,3139.5,1345.5
ROY_00183,TRK_05018,ART_0112,LBL_0030,Q1-2024,3100000,0.0046,14260.0,9982.0,4278.0
ROY_00184,TRK_05195,ART_0621,LBL_0011,Q4-2023,1200000,0.00579,6948.0,4863.6,2084.4
ROY_00185,TRK_05511,ART_0267,LBL_0031,Q2-2023,1700000,0.00665,11305.0,7913.5,3391.5
ROY_00186,TRK_01209,ART_0621,LBL_0011,Q1-2024,800000,0.00579,4632.0,3242.4,1389.6
ROY_00187,TRK_03790,ART_0040,LBL_0024,Q4-2023,1074999,0.00568,6105.99,4274.2,1831.8
ROY_00188,TRK_00711,ART_0562,LBL_0043,Q1-2023,1600000,0.00572,9152.0,6406.4,2745.6
ROY_00189,TRK_05819,ART_0416,LBL_0043,Q4-2023,825000,0.00572,4719.0,3303.3,1415.7
ROY_00190,TRK_03430,ART_0049,LBL_0049,Q4-2023,2775000,0.00648,17982.0,12587.4,5394.6
ROY_00191,TRK_00597,ART_0449,LBL_0029,Q3-2023,900000,0.00392,3528.0,2469.6,1058.4
ROY_00192,TRK_03813,ART_0610,LBL_0049,Q1-2023,1175000,0.00648,7614.0,5329.8,2284.2
ROY_00193,TRK_01883,ART_0250,LBL_0034,Q1-2024,950000,0.00406,3857.0,2699.9,1157.1
ROY_00194,TRK_00959,ART_0138,LBL_0030,Q3-2023,775000,0.0046,3565.0,2495.5,1069.5
ROY_00195,TRK_01440,ART_0664,LBL_0035,Q3-2024,775000,0.00525,4068.75,2848.12,1220.62
ROY_00196,TRK_00751,ART_0557,LBL_0008,Q1-2023,7375000,0.00524,38645.0,27051.5,11593.5
ROY_00197,TRK_04640,ART_0018,LBL_0004,Q1-2023,925000,0.00738,6826.5,4778.55,2047.95
ROY_00198,TRK_04043,ART_0581,LBL_0049,Q4-2024,875000,0.00648,5670.0,3969.0,1701.0
ROY_00199,TRK_00875,ART_0346,LBL_0007,Q4-2023,3025000,0.00393,11888.25,8321.78,3566.48
ROY_00200,TRK_04334,ART_0112,LBL_0030,Q3-2023,1025000,0.0046,4715.0,3300.5,1414.5
ROY_00201,TRK_00413,ART_0351,LBL_0007,Q2-2023,900000,0.00393,3537.0,2475.9,1061.1
ROY_00202,TRK_00235,ART_0352,LBL_0002,Q2-2024,950000,0.00538,5111.0,3577.7,1533.3
ROY_00203,TRK_04596,ART_0584,LBL_0022,Q1-2023,1475000,0.00411,6062.25,4243.57,1818.67
ROY_00204,TRK_05525,ART_0027,LBL_0046,Q1-2023,1774999,0.00363,6443.25,4510.27,1932.97
ROY_00205,TRK_05154,ART_0611,LBL_0050,Q4-2024,1800000,0.00503,9054.0,6337.8,2716.2
ROY_00206,TRK_04911,ART_0118,LBL_0015,Q1-2024,950000,0.00623,5918.5,4142.95,1775.55
ROY_00207,TRK_03436,ART_0659,LBL_0011,Q1-2023,1625000,0.00579,9408.75,6586.12,2822.62
ROY_00208,TRK_01697,ART_0626,LBL_0011,Q3-2023,1925000,0.00579,11145.75,7802.02,3343.72
ROY_00209,TRK_04266,ART_0093,LBL_0044,Q4-2024,1250000,0.00654,8175.0,5722.5,2452.5
ROY_00210,TRK_04100,ART_0437,LBL_0003,Q4-2024,1650000,0.0047,7755.0,5428.5,2326.5
ROY_00211,TRK_05052,ART_0437,LBL_0003,Q3-2024,775000,0.0047,3642.5,2549.75,1092.75
ROY_00212,TRK_05108,ART_0500,LBL_0021,Q3-2024,1425000,0.00642,9148.5,6403.95,2744.55
ROY_00213,TRK_04084,ART_0463,LBL_0036,Q4-2023,775000,0.00534,4138.5,2896.95,1241.55
ROY_00214,TRK_00608,ART_0352,LBL_0002,Q1-2023,925000,0.00538,4976.5,3483.55,1492.95
ROY_00215,TRK_00300,ART_0634,LBL_0034,Q1-2024,1850000,0.00406,7511.0,5257.7,2253.3
ROY_00216,TRK_02030,ART_0647,LBL_0029,Q2-2023,850000,0.00392,3332.0,2332.4,999.6
ROY_00217,TRK_03651,ART_0370,LBL_0011,Q1-2024,1250000,0.00579,7237.5,5066.25,2171.25
ROY_00218,TRK_00826,ART_0093,LBL_0044,Q4-2023,1025000,0.00654,6703.5,4692.45,2011.05
ROY_00219,TRK_02339,ART_0149,LBL_0020,Q4-2023,975000,0.00565,5508.75,3856.12,1652.62
ROY_00220,TRK_00978,ART_0242,LBL_0011,Q2-2023,775000,0.00579,4487.25,3141.07,1346.17
ROY_00221,TRK_01558,ART_0189,LBL_0013,Q4-2024,1225000,0.00337,4128.25,2889.77,1238.47
ROY_00222,TRK_04704,ART_0211,LBL_0031,Q3-2023,1350000,0.00665,8977.5,6284.25,2693.25
ROY_00223,TRK_03933,ART_0355,LBL_0029,Q2-2024,20875000,0.00392,81830.0,57281.0,24549.0
ROY_00224,TRK_00083,ART_0432,LBL_0031,Q3-2024,1074999,0.00665,7148.74,5004.12,2144.62
ROY_00225,TRK_04935,ART_0467,LBL_0041,Q4-2023,1875000,0.00453,8493.75,5945.62,2548.12
ROY_00226,TRK_01373,ART_0379,LBL_0002,Q3-2023,1100000,0.00538,5918.0,4142.6,1775.4
ROY_00227,TRK_05869,ART_0291,LBL_0018,Q4-2024,2575000,0.00654,16840.5,11788.35,5052.15
ROY_00228,TRK_05505,ART_0135,LBL_0002,Q2-2024,18350000,0.00538,98723.0,69106.1,29616.9
ROY_00229,TRK_00237,ART_0654,LBL_0012,Q1-2024,2174999,0.00362,7873.5,5511.45,2362.05
ROY_00230,TRK_05490,ART_0418,LBL_0009,Q1-2024,825000,0.00388,3201.0,2240.7,960.3
ROY_00231,TRK_03142,ART_0141,LBL_0035,Q2-2023,1225000,0.00525,6431.25,4501.88,1929.38
ROY_00232,TRK_03034,ART_0442,LBL_0038,Q1-2024,9525000,0.00497,47339.25,33137.47,14201.77
ROY_00233,TRK_04541,ART_0407,LBL_0005,Q4-2023,975000,0.00673,6561.75,4593.22,1968.52
ROY_00234,TRK_05957,ART_0566,LBL_0002,Q1-2023,800000,0.00538,4304.0,3012.8,1291.2
ROY_00235,TRK_04851,ART_0403,LBL_0032,Q2-2023,1774999,0.00426,7561.5,5293.05,2268.45
ROY_00236,TRK_02433,ART_0079,LBL_0036,Q3-2024,4850000,0.00534,25899.0,18129.3,7769.7
ROY_00237,TRK_04350,ART_0335,LBL_0011,Q4-2024,2125000,0.00579,12303.75,8612.62,3691.12
ROY_00238,TRK_05702,ART_0020,LBL_0008,Q3-2024,1000000,0.00524,5240.0,3668.0,1572.0
ROY_00239,TRK_01346,ART_0486,LBL_0030,Q1-2023,2675000,0.0046,12305.0,8613.5,3691.5
ROY_00240,TRK_05597,ART_0399,LBL_0020,Q4-2023,2075000,0.00565,11723.75,8206.62,3517.12
