chart_id,track_id,artist_id,chart_name,week_date,peak_position,weeks_on_chart
109,8400,81,US Hot 100,2019-05-15,135,37
110,8888,107,Alternative 50,2022-03-04,50,36
111,1026,134,Dance/Electronic 40,2017-02-02,198,14
112,974,56,US Hot 100,2017-08-23,79,3
113,10681,216,Urban Chart,2024-10-11,79,17
114,3883,64,Urban Chart,2021-11-24,127,51
115,11708,246,Latin Beats,2021-04-14,57,15
116,10380,1,Dance/Electronic 40,2019-06-05,156,33
117,8615,22,EU Top 200,2024-07-05,178,19
118,10212,68,Dance/Electronic 40,2024-09-14,47,23
119,2878,140,Latin Beats,2023-01-14,119,14
120,10572,143,Urban Chart,2021-04-21,13,46
121,13606,192,APAC Pulse,2018-01-17,150,29
122,10735,222,Latin Beats,2016-02-17,79,36
123,10415,33,EU Top 200,2015-07-22,30,20
124,11199,92,Global Weekly,2021-02-20,49,31
125,6714,179,US Hot 100,2019-10-13,69,46
126,3331,119,EU Top 200,2024-12-01,67,4
127,2889,162,Alternative 50,2017-03-22,129,5
128,14297,200,Urban Chart,2023-12-06,85,19
129,5430,197,EU Top 200,2017-09-20,191,14
130,5825,58,Urban Chart,2024-06-23,85,3
131,3501,148,Dance/Electronic 40,2024-03-24,179,39
132,6342,96,APAC Pulse,2021-06-28,163,37
133,2715,107,APAC Pulse,2022-10-28,89,14
134,10459,175,Latin Beats,2022-10-05,126,31
135,8971,105,Latin Beats,2023-08-02,86,4
136,6384,205,Global Weekly,2024-10-23,61,40
137,9715,111,Urban Chart,2020-11-04,65,4
138,7875,237,EU Top 200,2023-03-23,165,21
139,9589,189,Dance/Electronic 40,2019-07-31,97,25
140,13375,137,US Hot 100,2023-08-03,29,43
141,12540,76,Latin Beats,2024-04-15,49,21
142,10910,188,Alternative 50,2024-03-10,200,40
143,2459,2,EU Top 200,2024-05-21,104,43
144,2816,234,US Hot 100,2024-09-15,126,27
145,44,44,Dance/Electronic 40,2023-07-25,181,9
146,7601,162,Dance/Electronic 40,2022-11-28,53,25
147,1082,166,Latin Beats,2023-03-08,59,46
148,12486,6,Dance/Electronic 40,2022-10-04,131,3
149,10178,147,Latin Beats,2021-03-02,48,29
150,1039,126,Alternative 50,2018-11-14,30,11
151,6040,183,Alternative 50,2015-05-20,84,41
152,2732,163,Dance/Electronic 40,2021-02-14,148,11
153,4763,111,Latin Beats,2021-12-08,53,40
154,1028,213,Urban Chart,2016-05-18,143,42
155,10551,146,US Hot 100,2020-10-28,33,48
156,3123,35,Urban Chart,2019-08-01,60,2
157,5941,203,Global Weekly,2022-11-16,98,14
158,7211,55,Latin Beats,2016-10-12,146,40
159,14094,84,Dance/Electronic 40,2024-10-26,25,6
160,12776,104,APAC Pulse,2024-03-24,75,48
161,9441,232,APAC Pulse,2018-09-12,126,41
162,1767,50,Urban Chart,2024-02-17,105,50
163,13658,167,Latin Beats,2024-10-11,152,10
164,10816,218,Dance/Electronic 40,2024-01-15,145,1
165,1963,138,Alternative 50,2018-02-21,68,16
166,532,88,APAC Pulse,2024-12-13,90,49
167,12375,35,EU Top 200,2021-09-01,17,21
168,12595,219,Global Weekly,2015-09-02,125,29
169,2728,58,Latin Beats,2024-01-19,22,47
170,8476,56,Alternative 50,2023-05-19,180,28
171,9510,13,US Hot 100,2024-06-05,28,13
172,1006,122,Global Weekly,2021-06-30,7,46
173,3459,213,Alternative 50,2017-04-05,103,42
174,14558,236,Global Weekly,2024-06-15,190,17
175,8045,70,EU Top 200,2016-09-28,82,47
176,12930,79,EU Top 200,2019-09-08,61,26
177,548,216,APAC Pulse,2021-07-28,171,34
178,7185,31,Dance/Electronic 40,2023-05-05,9,41
179,8589,197,Urban Chart,2022-12-21,91,34
180,11796,30,Urban Chart,2022-07-15,60,49
181,4703,77,Alternative 50,2022-05-30,45,44
182,1158,249,Global Weekly,2024-09-05,65,36
183,1281,157,Alternative 50,2021-02-25,168,29
184,12307,148,APAC Pulse,2024-06-30,184,5
185,494,131,Latin Beats,2023-06-17,53,41
186,10830,206,Global Weekly,2015-05-20,150,45
187,2214,220,Dance/Electronic 40,2020-05-27,178,2
188,9627,92,Global Weekly,2024-11-11,185,12
189,13292,82,US Hot 100,2023-12-16,43,33
190,2162,38,EU Top 200,2016-08-03,9,38
191,12629,48,Urban Chart,2024-10-31,54,30
192,3194,71,Latin Beats,2023-03-31,190,25
193,6508,159,Alternative 50,2024-05-26,12,29
194,12702,45,Latin Beats,2015-02-25,52,9
195,8041,167,Global Weekly,2021-07-18,85,48
196,10688,5,APAC Pulse,2023-09-13,63,25
197,12637,34,APAC Pulse,2024-04-03,175,14
198,7336,119,APAC Pulse,2019-01-06,167,26
199,12246,38,Global Weekly,2020-09-08,125,28
200,11083,166,US Hot 100,2022-07-27,159,27
201,2724,228,EU Top 200,2019-01-13,142,42
202,7859,192,US Hot 100,2019-03-09,49,32
203,9412,43,Latin Beats,2024-08-25,126,7
204,4443,199,Urban Chart,2023-10-20,147,37
205,12644,87,EU Top 200,2015-08-19,191,47
206,8291,197,EU Top 200,2022-06-22,58,4
207,5479,106,APAC Pulse,2024-12-29,52,5
208,4644,169,Alternative 50,2022-03-27,187,20
209,3552,92,Latin Beats,2019-01-13,104,7
210,9418,162,US Hot 100,2020-12-28,73,32
211,885,76,US Hot 100,2023-06-22,54,30
212,8412,95,Latin Beats,2023-01-31,100,27
213,8599,222,Global Weekly,2022-05-18,126,16
214,11687,203,Dance/Electronic 40,2017-11-15,182,41
215,11916,153,Dance/Electronic 40,2022-09-22,51,13
216,9369,205,EU Top 200,2024-01-27,128,2
217,12498,86,US Hot 100,2018-12-27,61,21
218,12748,136,Latin Beats,2020-07-08,180,26
219,7389,111,Urban Chart,2024-10-27,33,29
220,370,181,APAC Pulse,2022-08-09,33,11
221,14690,213,Urban Chart,2018-07-25,65,40
222,2191,35,EU Top 200,2022-05-19,164,47
223,9239,69,US Hot 100,2021-07-17,27,25
224,9890,65,APAC Pulse,2024-02-11,63,28
225,5382,218,Dance/Electronic 40,2021-10-17,65,44
226,3309,197,Urban Chart,2024-08-01,6,51
227,2818,46,Dance/Electronic 40,2020-05-27,11,41
228,12491,218,US Hot 100,2024-12-18,64,15
229,3516,66,APAC Pulse,2021-01-10,194,31
230,9398,164,Dance/Electronic 40,2024-03-27,7,9
231,9887,14,Global Weekly,2022-03-16,181,50
232,14190,213,Dance/Electronic 40,2017-10-04,130,26
233,11831,125,APAC Pulse,2020-10-13,59,20
234,9788,201,APAC Pulse,2019-03-03,100,51
235,5494,38,Urban Chart,2016-06-08,13,33
236,13674,11,Dance/Electronic 40,2021-10-20,137,37
237,5566,146,Dance/Electronic 40,2021-09-01,39,11
238,10310,2,Global Weekly,2022-12-16,37,50
239,8721,134,Global Weekly,2024-06-16,8,19
240,14088,223,EU Top 200,2016-07-06,56,30
241,13419,228,Urban Chart,2016-05-25,41,31
242,4080,173,US Hot 100,2024-09-05,10,5
243,3591,64,US Hot 100,2015-06-03,6,13
244,10189,211,Alternative 50,2024-02-15,33,35
245,14003,15,Dance/Electronic 40,2022-04-05,13,39
246,14941,217,Dance/Electronic 40,2023-06-08,43,43
247,2234,123,Global Weekly,2019-03-27,197,16
248,4474,217,APAC Pulse,2023-08-26,35,16
249,7267,196,EU Top 200,2024-05-12,121,25
250,3650,195,Dance/Electronic 40,2022-03-02,97,12
251,1802,29,Dance/Electronic 40,2024-05-21,65,16
252,5611,134,EU Top 200,2016-08-17,2,17
253,13612,155,EU Top 200,2016-05-11,136,33
254,429,125,Dance/Electronic 40,2022-04-27,60,20
255,11370,45,US Hot 100,2021-07-13,179,8
256,11785,154,APAC Pulse,2021-08-04,188,44
257,13558,6,Global Weekly,2023-08-15,33,48
258,9591,158,Urban Chart,2023-02-01,57,36
259,11460,180,Urban Chart,2021-05-06,34,32
260,8014,135,US Hot 100,2021-06-09,187,44
261,8095,238,US Hot 100,2023-10-25,32,49
262,8275,26,Urban Chart,2022-04-28,44,28
263,10203,73,EU Top 200,2018-04-04,100,42
264,12206,58,Latin Beats,2024-12-22,53,3
265,13691,54,Global Weekly,2019-03-23,5,16
266,6188,94,US Hot 100,2022-08-30,70,23
267,13862,81,Global Weekly,2024-09-11,38,31
268,979,184,Dance/Electronic 40,2015-11-11,144,36
269,6922,236,Alternative 50,2023-11-04,140,29
270,13247,52,Urban Chart,2021-10-26,65,48
271,13104,242,EU Top 200,2022-12-26,93,52
272,8337,214,Urban Chart,2023-08-17,177,28
273,11329,92,Urban Chart,2022-08-26,60,36
274,737,106,Alternative 50,2022-06-13,86,20
275,13522,147,Latin Beats,2024-05-12,141,42
276,2008,220,APAC Pulse,2016-08-10,95,29
277,14813,145,EU Top 200,2020-09-28,150,4
278,1918,118,Dance/Electronic 40,2024-08-07,20,17
279,9684,154,Global Weekly,2023-07-14,113,36
280,1142,50,Global Weekly,2020-03-10,38,22
281,4750,236,US Hot 100,2023-06-10,96,52
282,11326,38,Alternative 50,2016-04-20,108,34
283,2550,128,APAC Pulse,2019-12-25,166,23
284,2080,188,Urban Chart,2023-02-10,140,13
285,11190,169,Urban Chart,2019-05-15,43,14
286,10579,50,Urban Chart,2016-08-10,44,20
287,12973,28,US Hot 100,2020-08-24,140,28
288,6320,96,Global Weekly,2017-01-07,170,9
289,2765,55,Urban Chart,2021-06-17,60,31
290,3361,244,US Hot 100,2019-02-25,144,14
291,10768,210,APAC Pulse,2019-05-16,35,51
292,13475,46,APAC Pulse,2020-11-09,100,52
293,12793,159,APAC Pulse,2023-09-30,44,9
294,12627,232,Latin Beats,2019-08-31,52,21
295,441,105,Latin Beats,2021-11-17,161,48
296,5833,241,Global Weekly,2024-01-09,71,32
297,9944,147,Global Weekly,2024-07-28,13,47
298,13494,132,Latin Beats,2024-10-06,44,20
299,5697,122,Urban Chart,2024-12-04,114,31
300,5099,200,Dance/Electronic 40,2019-12-11,23,21
301,4160,186,Dance/Electronic 40,2024-03-31,99,6
302,226,226,Dance/Electronic 40,2020-01-04,13,10
303,4364,74,Latin Beats,2023-10-07,189,42
304,6821,236,Dance/Electronic 40,2024-05-12,146,37
305,8449,78,Latin Beats,2022-09-28,118,33
306,10669,188,Urban Chart,2022-03-18,155,19
307,7374,230,Latin Beats,2024-01-30,70,2
308,6972,73,EU Top 200,2015-05-06,154,9
309,2,2,APAC Pulse,2023-12-26,39,18
310,12036,239,EU Top 200,2024-08-03,176,47
311,1135,53,APAC Pulse,2018-05-09,125,38
312,4695,11,Latin Beats,2023-01-31,79,22
313,834,69,Dance/Electronic 40,2023-09-08,71,18
314,3644,214,Dance/Electronic 40,2024-07-28,10,27
315,4810,2,Dance/Electronic 40,2024-12-28,47,50
316,1684,2,Urban Chart,2023-06-16,47,35
317,7135,60,US Hot 100,2019-10-09,184,45
318,11953,61,Latin Beats,2023-09-30,28,30
319,2563,162,Latin Beats,2023-07-31,200,52
320,11044,132,EU Top 200,2022-06-08,100,42
321,502,76,APAC Pulse,2024-01-10,196,13
322,8052,177,Alternative 50,2017-08-02,180,22
323,8336,52,Dance/Electronic 40,2024-02-29,16,30
324,6417,16,Global Weekly,2018-06-27,119,2
325,4267,125,US Hot 100,2019-10-17,173,22
326,13883,86,Global Weekly,2018-01-10,200,8
327,10650,179,Alternative 50,2024-11-06,121,46
328,11116,120,Dance/Electronic 40,2021-09-18,157,36
329,10907,23,US Hot 100,2024-09-18,89,44
330,3649,73,Urban Chart,2023-11-01,155,13
331,1189,231,Global Weekly,2024-03-24,153,7
332,6103,8,Urban Chart,2023-09-09,68,7
333,2677,28,APAC Pulse,2019-07-10,127,23
334,10151,232,US Hot 100,2018-04-04,174,36
335,2588,135,APAC Pulse,2018-05-27,41,46
336,9959,206,APAC Pulse,2018-01-31,81,40
337,8294,68,US Hot 100,2021-05-01,149,31
338,2776,46,APAC Pulse,2021-10-30,146,1
339,1054,92,Global Weekly,2023-02-20,170,28
340,7044,19,EU Top 200,2024-08-07,35,29
341,13717,213,Dance/Electronic 40,2017-12-06,124,25
342,4510,160,Global Weekly,2022-03-18,181,32
343,1519,198,US Hot 100,2024-06-15,124,24
344,3547,84,APAC Pulse,2023-12-07,184,15
345,291,250,Dance/Electronic 40,2019-04-24,25,39
346,260,41,Latin Beats,2020-04-22,12,49
347,3823,191,Global Weekly,2020-01-22,159,46
348,14098,6,Latin Beats,2023-10-20,63,48
349,8069,51,Alternative 50,2019-12-23,155,45
350,2671,188,EU Top 200,2023-04-01,68,17
351,14663,62,Latin Beats,2023-07-28,89,40
352,14203,1,APAC Pulse,2024-08-04,76,24
353,8911,208,EU Top 200,2018-05-31,14,42
354,1260,175,EU Top 200,2024-09-18,119,18
355,12432,62,Global Weekly,2022-01-21,190,13
356,4289,175,Dance/Electronic 40,2016-06-22,4,49
357,1273,91,Urban Chart,2021-11-03,108,33
358,5607,161,US Hot 100,2021-10-11,166,19
359,4112,162,Dance/Electronic 40,2018-07-04,106,3
360,3147,69,EU Top 200,2021-10-09,109,38
361,11771,83,APAC Pulse,2024-07-14,80,38
362,8272,86,Latin Beats,2019-01-17,13,29
363,11337,6,US Hot 100,2021-06-08,182,32
364,5878,31,Alternative 50,2024-11-29,154,19
365,13705,175,EU Top 200,2021-11-10,118,48
366,5314,141,US Hot 100,2023-01-12,158,35
367,8009,124,Latin Beats,2021-12-18,18,13
368,12804,33,EU Top 200,2015-11-04,145,37
369,8704,228,Alternative 50,2016-08-03,16,24
370,5396,95,Global Weekly,2024-11-24,2,8
371,11029,52,APAC Pulse,2024-04-28,29,16
372,10456,81,Global Weekly,2022-10-05,181,33
373,8684,186,Global Weekly,2023-09-08,117,37
374,11877,141,Latin Beats,2015-02-25,31,52
375,6537,236,Urban Chart,2023-12-09,123,7
376,4658,15,Urban Chart,2020-02-18,43,52
377,12789,124,Urban Chart,2015-09-09,118,31
378,13668,89,Latin Beats,2020-05-06,72,6
379,210,210,Dance/Electronic 40,2017-12-28,196,27
380,7322,228,Urban Chart,2023-11-24,150,1
381,5388,105,Global Weekly,2024-03-23,108,45
382,11962,183,Urban Chart,2021-06-12,168,46
383,10861,8,APAC Pulse,2022-04-08,23,4
384,6679,126,Global Weekly,2019-12-23,181,5
385,2377,127,Alternative 50,2016-06-15,36,33
386,9521,229,APAC Pulse,2017-09-02,190,25
387,2113,51,EU Top 200,2024-06-03,2,46
388,8342,68,Alternative 50,2019-10-12,105,4
389,8315,236,Global Weekly,2024-11-03,47,51
390,13136,197,Global Weekly,2024-12-28,116,43
391,11306,200,US Hot 100,2020-02-26,5,48
392,13624,134,Alternative 50,2015-10-14,83,16
393,12496,52,US Hot 100,2022-01-10,199,15
394,6415,209,EU Top 200,2017-02-08,78,12
395,14205,212,EU Top 200,2017-09-06,107,22
396,12423,216,APAC Pulse,2018-07-19,2,36
397,4291,6,US Hot 100,2024-04-21,58,38
398,9824,203,Latin Beats,2022-09-21,100,29
399,3604,122,Latin Beats,2024-03-03,14,31
400,9736,166,EU Top 200,2015-03-11,184,25
401,329,238,Global Weekly,2022-02-20,159,46
402,14150,62,Urban Chart,2023-07-07,147,29
403,7195,55,Alternative 50,2016-04-13,77,32
404,4748,219,Urban Chart,2023-02-10,45,48
405,6764,58,Latin Beats,2024-09-27,178,2
406,10485,50,Dance/Electronic 40,2021-02-16,183,15
407,4185,132,Dance/Electronic 40,2023-08-23,13,37
408,4773,75,EU Top 200,2020-10-14,174,4
409,392,181,EU Top 200,2024-07-07,88,15
410,7157,90,Alternative 50,2021-02-04,94,32
411,10662,168,US Hot 100,2022-04-26,89,4
412,8323,88,APAC Pulse,2024-03-15,35,1
413,13088,220,Latin Beats,2020-02-12,186,52
414,8233,142,Alternative 50,2024-11-10,71,29
415,6197,75,Latin Beats,2020-06-29,29,21
416,3815,246,Alternative 50,2021-06-09,188,12
417,13132,52,Dance/Electronic 40,2022-06-02,182,30
418,3208,242,EU Top 200,2018-08-29,146,1
419,7522,95,US Hot 100,2024-07-13,135,5
420,9469,23,Urban Chart,2024-05-15,31,38
421,7941,51,US Hot 100,2018-10-10,151,47
422,13850,64,Dance/Electronic 40,2015-11-04,29,6
423,13451,232,Global Weekly,2024-04-09,81,6
424,6045,233,Global Weekly,2023-12-27,54,52
425,8483,134,Global Weekly,2018-07-25,200,35
426,8989,37,Urban Chart,2024-11-24,85,39
427,7873,44,Alternative 50,2016-06-30,7,20
428,6479,95,Urban Chart,2023-04-15,2,35
429,11324,38,APAC Pulse,2022-03-16,91,43
430,2397,249,Dance/Electronic 40,2022-11-03,71,31
431,5574,102,US Hot 100,2020-10-27,29,38
432,4434,227,EU Top 200,2020-08-03,67,29
433,11645,150,EU Top 200,2022-04-27,13,14
434,13620,83,US Hot 100,2020-10-13,131,36
435,1396,188,EU Top 200,2024-03-31,144,28
436,12058,220,APAC Pulse,2022-09-21,177,43
437,6287,58,Latin Beats,2023-12-22,178,3
438,4783,28,Dance/Electronic 40,2022-02-16,185,26
439,4202,166,APAC Pulse,2024-08-10,66,21
440,14490,74,Global Weekly,2023-11-04,184,18
441,9544,250,EU Top 200,2019-01-16,195,4
442,9455,189,Global Weekly,2023-05-24,56,2
443,5808,15,Dance/Electronic 40,2016-09-29,5,49
444,14611,48,EU Top 200,2016-12-15,139,13
445,11522,123,Global Weekly,2021-03-03,181,29
446,1927,68,Global Weekly,2024-09-08,5,44
447,7741,207,Global Weekly,2022-11-18,63,4
448,11286,52,US Hot 100,2024-05-04,128,41
449,10532,55,Alternative 50,2019-02-03,125,38
450,5762,218,Dance/Electronic 40,2022-09-14,94,41
451,10524,110,Latin Beats,2015-06-17,67,41
452,7419,77,Urban Chart,2015-01-07,182,3
453,5880,105,Latin Beats,2022-01-26,39,13
454,3766,107,Alternative 50,2016-07-13,27,30
455,5993,67,EU Top 200,2016-11-16,40,29
456,13086,131,Alternative 50,2019-08-21,85,10
457,6734,156,Dance/Electronic 40,2022-10-06,37,41
458,11745,178,Global Weekly,2018-07-18,68,28
459,12759,164,Global Weekly,2022-10-27,104,18
460,5600,214,Alternative 50,2023-10-05,13,41
461,3012,212,Latin Beats,2024-10-31,23,41
462,8361,6,APAC Pulse,2022-05-24,118,16
463,12944,43,Global Weekly,2016-09-07,190,30
464,169,169,EU Top 200,2022-04-24,178,16
465,11113,81,US Hot 100,2017-06-14,106,24
466,13450,212,Dance/Electronic 40,2016-09-21,76,25
467,14429,35,EU Top 200,2018-01-04,140,47
468,5255,201,Dance/Electronic 40,2024-02-25,14,16
469,8372,152,Alternative 50,2022-05-03,15,22
470,8387,168,Alternative 50,2020-12-09,173,17
471,8608,100,Urban Chart,2019-11-24,149,49
472,11695,19,Alternative 50,2024-01-28,100,20
473,12680,152,Latin Beats,2019-07-27,73,36
474,14439,13,Alternative 50,2021-10-20,42,47
475,1160,161,Latin Beats,2017-04-19,97,1
476,6609,146,APAC Pulse,2015-05-27,35,51
477,13325,35,US Hot 100,2015-04-15,33,30
478,6057,65,Global Weekly,2024-05-11,46,51
479,9654,244,Latin Beats,2018-12-02,183,1
480,501,186,Alternative 50,2024-12-15,90,25
481,14521,82,EU Top 200,2019-11-06,149,7
482,3729,57,Latin Beats,2022-12-12,161,15
483,3785,205,EU Top 200,2020-06-23,25,52
484,2788,171,Latin Beats,2020-08-29,55,21
485,5662,217,Dance/Electronic 40,2023-05-06,82,17
486,9305,61,Urban Chart,2023-02-18,163,18
487,902,143,EU Top 200,2016-05-11,41,27
488,13058,69,EU Top 200,2022-12-12,17,14
489,2235,189,Global Weekly,2016-01-14,122,24
490,14486,169,Urban Chart,2024-05-12,118,3
491,6518,203,US Hot 100,2015-06-10,171,41
492,12508,81,APAC Pulse,2021-08-25,57,4
493,4942,25,Urban Chart,2021-07-28,57,13
494,3134,81,EU Top 200,2020-05-19,117,48
495,3524,95,US Hot 100,2022-05-27,33,18
496,8375,88,Alternative 50,2024-04-14,80,21
497,9676,118,APAC Pulse,2024-12-29,102,45
498,131,131,Alternative 50,2016-08-03,196,44
499,7505,199,Urban Chart,2019-04-22,59,31
500,8869,149,Global Weekly,2021-10-27,54,26
501,6282,160,Dance/Electronic 40,2023-07-08,78,41
502,10597,46,EU Top 200,2021-03-01,196,24
503,8868,85,Global Weekly,2016-03-16,188,15
504,9789,67,Dance/Electronic 40,2020-10-28,29,37
505,5515,214,Alternative 50,2022-05-20,176,18
506,80,80,EU Top 200,2022-02-16,23,18
507,10188,88,Alternative 50,2024-11-15,85,32
508,10500,166,APAC Pulse,2023-12-02,10,41
509,6625,115,Urban Chart,2024-09-08,180,8
510,10867,122,Dance/Electronic 40,2015-09-09,100,49
511,7973,46,Latin Beats,2021-07-31,47,35
512,3149,113,APAC Pulse,2015-07-22,43,18
513,2787,236,Global Weekly,2023-08-26,59,24
514,10107,79,Global Weekly,2024-08-24,117,3
515,3075,102,US Hot 100,2020-09-29,100,36
516,4189,183,Global Weekly,2024-01-03,142,36
517,5644,124,Latin Beats,2023-06-24,180,24
518,1478,134,Urban Chart,2023-06-17,112,7
519,3523,228,APAC Pulse,2018-12-23,90,20
520,7945,107,Alternative 50,2021-03-25,189,11
521,1120,17,Urban Chart,2015-04-01,84,25
522,6143,61,US Hot 100,2023-03-11,97,42
523,14175,9,Dance/Electronic 40,2023-02-21,101,13
524,12086,231,EU Top 200,2019-11-04,46,35
525,7787,33,Global Weekly,2024-09-16,106,18
526,564,4,Urban Chart,2024-03-28,87,45
527,1721,83,EU Top 200,2022-06-21,66,37
528,14345,122,Global Weekly,2015-04-22,24,9
529,9266,216,Alternative 50,2017-09-13,175,39
530,9439,214,Urban Chart,2024-10-18,172,3
531,949,30,Dance/Electronic 40,2023-03-23,142,17
532,5029,191,US Hot 100,2022-11-23,23,19
533,2376,192,APAC Pulse,2019-07-31,85,15
534,3128,187,Dance/Electronic 40,2018-12-12,136,28
535,3886,95,APAC Pulse,2024-08-06,177,43
536,6410,52,Global Weekly,2024-08-20,77,38
537,5403,22,APAC Pulse,2023-10-06,130,16
538,12909,121,US Hot 100,2024-03-28,28,42
539,9480,84,EU Top 200,2024-01-14,11,27
540,10320,95,APAC Pulse,2021-08-19,161,19
541,6977,96,Dance/Electronic 40,2018-09-23,8,23
542,9385,86,Urban Chart,2018-04-19,175,38
543,7989,2,Latin Beats,2023-07-01,71,36
