track_id,tempo_bpm,energy,danceability,valence,acousticness,loudness_db,instrumentalness
42,108.3,0.407,0.192,0.777,0.877,-23.14,0.252
43,119.2,0.797,0.556,0.541,0.007,-14.8,0.004
44,72.9,0.425,0.794,0.128,0.493,-22.23,0.014
45,71.2,0.434,0.429,0.923,0.842,-23.41,0.632
46,196.4,0.543,0.124,0.907,0.51,-14.75,0.341
47,158.3,0.648,0.273,0.603,0.786,-5.47,0.833
48,132.5,0.72,0.325,0.104,0.286,-18.64,0.583
49,115.8,0.81,0.488,0.828,0.615,-29.24,0.3
50,83.6,0.381,0.499,0.797,0.456,-24.32,0.008
51,86.3,0.578,0.936,0.878,0.19,-6.05,0.878
52,61.0,0.478,0.165,0.003,0.411,-5.27,0.105
53,127.5,0.569,0.411,0.913,0.617,-26.56,0.478
54,121.8,0.923,0.486,0.977,0.059,-7.79,0.807
55,196.1,0.31,0.408,0.959,0.36,-17.26,0.751
56,79.5,0.776,0.708,0.502,0.597,-3.87,0.495
57,104.9,0.587,0.835,0.107,0.721,-13.25,0.827
58,88.1,0.624,0.384,0.106,0.554,-26.5,0.674
59,187.9,0.592,0.125,0.682,0.397,-22.25,0.405
60,198.3,0.453,0.161,0.629,0.043,-2.64,0.814
61,84.2,0.658,0.549,0.345,0.914,-4.72,0.306
62,127.5,0.891,0.15,0.319,0.431,-11.61,0.49
63,134.7,0.379,0.659,0.337,0.911,-24.74,0.485
64,137.3,0.474,0.639,0.99,0.712,-18.7,0.4
65,105.2,0.453,0.355,0.259,0.017,-7.96,0.179
66,87.4,0.362,0.671,0.999,0.89,-14.14,0.113
67,95.7,0.445,0.338,0.9,0.328,-14.2,0.36
68,144.2,0.63,0.398,0.679,0.151,-16.49,0.217
69,158.3,0.327,0.203,0.508,0.587,-12.94,0.267
70,97.3,0.547,0.388,0.018,0.525,-5.74,0.011
71,62.8,0.623,0.871,0.707,0.987,-2.58,0.268
72,131.2,0.725,0.293,0.828,0.633,-28.53,0.674
73,85.6,0.381,0.568,0.153,0.893,-6.47,0.846
74,129.2,0.695,0.742,0.4,0.496,-28.13,0.168
75,128.5,0.607,0.82,0.452,0.232,-26.56,0.48
76,93.7,0.39,0.648,0.539,0.383,-13.35,0.221
77,76.3,0.871,0.887,0.24,0.723,-15.0,0.16
78,141.9,0.664,0.971,0.412,0.074,-20.59,0.108
79,136.7,0.796,0.109,0.692,0.028,-19.69,0.309
80,71.4,0.475,0.464,0.58,0.687,-6.32,0.521
81,151.9,0.622,0.386,0.644,0.737,-4.37,0.683
82,199.6,0.574,0.592,0.83,0.244,-12.68,0.746
83,78.2,0.92,0.394,0.492,0.813,-4.12,0.94
84,60.9,0.739,0.732,0.917,0.854,-19.43,0.185
85,130.5,0.439,0.525,0.977,0.972,-5.95,0.593
86,175.4,0.712,0.365,0.83,0.406,-28.22,0.25
87,198.4,0.861,0.718,0.736,0.369,-7.98,0.062
88,112.2,0.482,0.644,0.759,0.472,-14.06,0.348
89,150.2,0.503,0.867,0.009,0.671,-18.62,0.997
90,146.0,0.492,0.284,0.643,0.443,-6.86,0.209
91,164.3,0.659,0.783,0.435,0.178,-29.42,0.068
92,123.9,0.456,0.853,0.545,0.209,-13.58,0.683
93,151.9,0.636,0.823,0.486,0.752,-20.51,0.683
94,84.5,0.673,0.109,0.716,0.494,-11.09,0.775
95,63.1,0.54,0.337,0.673,0.848,-22.17,0.51
96,134.3,0.552,0.882,0.979,0.641,-23.94,0.419
97,80.6,0.508,0.877,0.063,0.645,-29.48,0.271
98,127.7,0.425,0.767,0.14,0.173,-5.39,0.05
99,139.9,0.576,0.718,0.615,0.657,-19.9,0.908
100,124.9,0.554,0.586,0.797,0.505,-26.29,0.019
101,117.0,0.665,0.533,0.41,0.275,-12.45,0.596
102,68.9,0.824,0.324,0.589,0.766,-24.87,0.645
103,190.1,0.875,0.99,0.572,0.042,-2.23,0.716
104,116.1,0.648,0.427,0.463,0.492,-2.92,0.756
105,82.3,0.408,0.288,0.684,0.393,-18.28,0.438
106,133.6,0.908,0.362,0.431,0.336,-11.74,0.217
107,110.1,0.352,0.555,0.696,0.703,-6.61,0.321
108,78.8,0.623,0.465,0.038,0.8,-29.06,0.037
109,175.6,0.59,0.725,0.343,0.608,-8.09,0.202
110,188.4,0.515,0.677,0.9,0.887,-26.3,0.823
111,142.3,0.943,0.647,0.988,0.634,-10.63,0.901
112,93.0,0.542,0.297,0.248,0.582,-16.06,0.174
113,118.0,0.738,0.493,0.607,0.934,-17.54,0.845
114,162.3,0.879,0.156,0.119,0.505,-16.67,0.535
115,66.7,0.541,0.172,0.466,0.675,-18.48,0.385
116,142.0,0.814,0.281,0.65,0.055,-6.13,0.341
117,128.2,0.463,0.338,0.971,0.811,-26.31,0.936
118,151.1,0.708,0.932,0.513,0.296,-12.26,0.119
119,124.2,0.717,0.273,0.844,0.881,-18.81,0.305
120,196.1,0.915,0.772,0.112,0.827,-18.44,0.932
121,140.4,0.285,0.438,0.982,0.315,-4.19,0.942
122,183.6,0.418,0.977,0.69,0.967,-28.33,0.156
123,75.1,0.368,0.936,0.558,0.866,-18.95,0.167
124,105.6,0.75,0.336,0.069,0.869,-8.36,0.959
125,84.0,0.389,0.301,0.135,0.411,-12.3,0.574
126,79.5,0.657,0.887,0.611,0.189,-29.95,0.933
127,162.3,0.515,0.934,0.931,0.245,-25.84,0.196
128,196.1,0.506,0.147,0.841,0.153,-24.29,0.543
129,105.2,0.724,0.341,0.041,0.839,-26.35,0.094
130,194.3,0.528,0.465,0.022,0.269,-6.07,0.684
131,130.5,0.521,0.508,0.434,0.025,-5.81,0.17
132,62.2,0.426,0.517,0.586,0.607,-29.39,0.789
133,97.6,0.813,0.705,0.558,0.016,-12.19,0.17
134,195.0,0.608,0.885,0.622,0.457,-25.38,0.68
135,128.7,0.923,0.906,0.214,0.526,-10.45,0.49
136,104.3,0.595,0.147,0.747,0.385,-22.53,0.613
137,188.0,0.64,0.583,0.416,0.198,-11.85,0.411
138,191.1,0.668,0.968,0.227,0.146,-22.62,0.239
139,167.5,0.722,0.259,0.449,0.049,-12.35,0.316
140,168.1,0.743,0.403,0.238,0.671,-9.22,0.272
141,90.4,0.771,0.31,0.381,0.914,-18.33,0.836
142,85.5,0.289,0.695,0.853,0.552,-13.28,0.461
143,155.9,0.788,0.734,0.262,0.299,-25.95,0.015
144,109.8,0.78,0.231,0.992,0.354,-18.42,0.492
145,132.6,0.854,0.65,0.012,0.452,-19.4,0.114
146,76.9,0.66,0.793,0.702,0.228,-7.85,0.813
147,107.3,0.679,0.122,0.984,0.171,-26.15,0.707
148,182.9,0.874,0.793,0.559,0.557,-18.28,0.36
149,82.0,0.607,0.883,0.844,0.489,-10.08,0.483
150,148.6,0.436,0.991,0.519,0.183,-4.61,0.054
151,153.8,0.604,0.111,0.089,0.061,-28.63,0.567
152,84.3,0.557,0.251,0.773,0.921,-24.48,0.959
153,178.1,0.806,0.561,0.334,0.891,-27.06,0.504
154,178.0,0.339,0.357,0.055,0.079,-7.36,0.394
155,163.1,0.705,0.635,0.922,0.897,-19.69,0.222
156,127.5,0.434,0.956,0.089,0.663,-25.55,0.945
157,188.8,0.674,0.146,0.549,0.199,-26.13,0.52
158,125.7,0.661,0.942,0.915,0.329,-22.87,0.61
159,90.0,0.394,0.235,0.291,0.907,-18.66,0.312
160,85.4,0.751,0.34,0.184,0.024,-12.78,0.015
161,164.4,0.383,0.987,0.954,0.963,-17.85,0.061
162,121.8,0.487,0.488,0.649,0.254,-23.16,0.161
163,75.3,0.539,0.928,0.215,0.348,-15.9,0.812
164,111.9,0.868,0.284,0.775,0.5,-27.91,0.121
165,137.0,0.599,0.899,0.75,0.937,-22.99,0.177
166,135.9,0.519,0.426,0.658,0.442,-5.6,0.567
167,182.9,0.383,0.301,0.58,0.653,-12.21,0.569
168,160.6,0.832,0.401,0.494,0.552,-16.48,0.55
169,150.8,0.77,0.781,0.424,0.724,-24.76,0.115
170,158.6,0.611,0.228,0.234,0.292,-26.68,0.085
171,199.9,0.408,0.279,0.765,0.32,-23.59,0.593
172,182.8,0.475,0.932,0.028,0.728,-22.49,0.632
173,93.1,0.535,0.598,0.444,0.01,-8.63,0.751
174,168.6,0.794,0.769,0.912,0.429,-6.53,0.095
175,66.0,0.631,0.798,0.297,0.472,-2.96,0.64
176,195.7,0.388,0.854,0.971,0.563,-10.84,0.157
177,117.9,0.735,0.296,0.198,0.714,-12.0,0.553
178,144.7,0.54,0.822,0.82,0.774,-21.03,0.797
179,131.6,0.761,0.69,0.691,0.356,-20.07,0.724
180,183.4,0.488,0.323,0.113,0.327,-13.09,0.335
181,90.1,0.594,0.275,0.212,0.847,-28.13,0.723
182,106.8,0.355,0.405,0.45,0.235,-7.3,0.064
183,175.4,0.48,0.667,0.129,0.904,-3.64,0.774
184,184.8,0.429,0.427,0.181,0.65,-21.56,0.324
185,132.0,0.519,0.453,0.82,0.57,-4.16,0.925
186,96.9,0.78,0.725,0.121,0.0,-26.79,0.018
187,101.7,0.494,0.244,0.304,0.841,-3.74,0.404
188,150.3,0.558,0.764,0.785,0.33,-4.05,0.361
189,75.5,0.76,0.67,0.781,0.919,-5.85,0.195
190,116.2,0.51,0.366,0.094,0.977,-17.04,0.465
191,196.7,0.612,0.515,0.206,0.111,-4.54,0.586
192,149.5,0.654,0.95,0.456,0.045,-24.46,0.819
193,197.2,0.883,0.108,0.21,0.556,-9.04,0.619
194,138.1,0.586,0.626,0.712,0.671,-18.0,0.965
195,68.6,0.48,0.879,0.953,0.65,-9.91,0.568
196,75.1,0.328,0.895,0.18,0.692,-11.36,0.608
197,74.2,0.701,0.194,0.197,0.626,-5.27,0.391
198,99.0,0.282,0.159,0.164,0.015,-29.27,0.248
199,64.1,0.509,0.798,0.17,0.974,-15.25,0.159
200,103.8,0.923,0.657,0.513,0.955,-15.66,0.912
201,162.2,0.511,0.16,0.289,0.406,-10.71,0.412
202,117.1,0.392,0.844,0.274,0.658,-4.05,0.112
203,143.3,0.419,0.788,0.382,0.871,-12.48,0.5
204,196.4,0.463,0.915,0.413,0.004,-25.77,0.007
205,160.9,0.792,0.614,0.159,0.873,-20.64,0.136
206,145.2,0.662,0.556,0.775,0.698,-27.15,0.142
207,64.6,0.539,0.886,0.9,0.086,-10.84,0.675
208,185.3,0.47,0.278,0.007,0.142,-18.38,0.235
209,185.4,0.568,0.637,0.452,0.164,-9.58,0.053
210,185.3,0.498,0.963,0.828,0.885,-29.95,0.195
211,92.1,0.482,0.56,0.775,0.992,-13.96,0.28
212,67.8,0.328,0.815,0.372,0.803,-10.76,0.199
213,161.8,0.731,0.647,0.248,0.674,-21.04,0.331
214,172.8,0.599,0.446,0.08,0.266,-14.42,0.231
215,195.5,0.7,0.343,0.821,0.694,-16.71,0.308
216,127.9,0.845,0.11,0.081,0.82,-13.1,0.357
217,171.4,0.556,0.885,0.757,0.997,-11.97,0.089
218,81.0,0.564,0.387,0.844,0.411,-27.48,0.597
219,175.6,0.773,0.79,0.635,0.744,-18.29,0.367
220,177.5,0.506,0.228,0.396,0.668,-29.88,0.361
221,144.1,0.643,0.354,0.517,0.108,-23.94,0.266
222,117.4,0.753,0.152,0.451,0.936,-3.71,0.502
223,151.4,0.785,0.645,0.951,0.774,-11.91,0.502
224,199.1,0.451,0.551,0.711,0.836,-29.99,0.751
225,149.9,0.261,0.893,0.565,0.088,-5.42,0.051
226,175.5,0.268,0.781,0.302,0.026,-25.15,0.022
227,88.1,0.59,0.404,0.486,0.849,-7.84,0.56
228,109.6,0.436,0.984,0.877,0.506,-11.79,0.774
229,168.1,0.569,0.992,0.8,0.819,-21.36,0.563
230,129.4,0.729,0.875,0.768,0.12,-25.06,0.263
231,157.0,0.479,0.263,0.099,0.782,-14.42,0.294
232,124.2,0.582,0.261,0.565,0.156,-5.92,0.7
233,101.6,0.845,0.674,0.019,0.685,-26.76,0.866
234,173.9,0.723,0.708,0.588,0.592,-12.52,0.352
235,66.4,0.55,0.3,0.837,0.643,-12.92,0.3
236,67.9,0.749,0.888,0.645,0.62,-12.61,0.05
237,200.0,0.466,0.662,0.933,0.062,-5.37,0.24
238,192.7,0.743,0.999,0.777,0.78,-29.8,0.842
239,88.0,0.603,0.181,0.417,0.514,-23.27,0.582
240,155.9,0.381,0.88,0.691,0.619,-5.77,0.376
241,160.8,0.778,0.625,0.678,0.575,-28.82,0.118
242,158.0,0.878,0.311,0.16,0.095,-13.45,0.773
243,109.7,0.476,0.921,0.614,0.692,-22.23,0.841
244,114.9,0.663,0.893,0.455,0.734,-21.24,0.366
245,169.8,0.356,0.756,0.363,0.711,-15.91,0.427
246,63.7,0.745,0.547,0.698,0.911,-28.51,0.714
247,72.1,0.541,0.271,0.791,0.533,-13.86,0.672
248,124.5,0.34,0.897,0.894,0.25,-24.76,0.118
249,128.3,0.735,0.623,0.294,0.376,-19.08,0.974
250,96.2,0.461,0.621,0.456,0.566,-5.41,0.581
251,114.8,0.475,0.183,0.667,0.731,-3.28,0.59
252,109.7,0.765,0.351,0.058,0.662,-20.21,0.29
253,92.5,0.463,0.894,0.285,0.919,-23.25,0.085
254,188.9,0.529,0.414,0.558,0.594,-13.59,0.919
255,147.3,0.327,0.458,0.884,0.963,-22.69,0.139
256,135.7,0.718,0.555,0.91,0.826,-12.12,0.212
257,113.2,0.774,0.121,0.671,0.54,-15.77,0.266
258,78.1,0.53,0.399,0.101,0.665,-27.06,0.529
259,87.3,0.516,0.292,0.703,0.536,-8.53,0.462
260,159.4,0.753,0.948,0.43,0.125,-26.39,0.05
261,96.1,0.37,0.588,0.136,0.727,-6.96,0.798
262,81.6,0.51,0.635,0.623,0.569,-14.0,0.614
263,180.2,0.496,0.817,0.754,0.713,-12.69,0.521
264,179.3,0.58,0.263,0.915,0.997,-7.69,0.576
265,165.8,0.676,0.681,0.45,0.056,-11.67,0.368
266,199.1,0.29,0.815,0.868,0.179,-20.42,0.704
267,192.0,0.407,0.369,0.894,0.192,-9.08,0.212
268,76.5,0.385,0.532,0.888,0.522,-18.99,0.595
269,94.0,0.589,0.597,0.61,0.927,-19.97,0.044
270,178.7,0.306,0.729,0.245,0.284,-17.54,0.257
271,108.6,0.558,0.816,0.875,0.626,-23.9,0.68
272,190.7,0.775,0.133,0.177,0.028,-25.01,0.066
273,88.1,0.561,0.963,0.146,0.054,-17.57,0.501
274,69.6,0.501,0.512,0.057,0.385,-26.18,0.455
275,71.0,0.728,0.477,0.549,0.464,-2.6,0.654
276,139.9,0.384,0.104,0.236,0.206,-15.42,0.952
277,191.9,0.282,0.607,0.46,0.236,-6.68,0.53
278,198.7,0.847,0.718,0.638,0.621,-27.76,0.968
279,121.9,0.275,0.988,0.338,0.182,-9.2,0.106
280,185.0,0.505,0.49,0.776,0.17,-16.03,0.975
281,63.5,0.328,0.86,0.578,0.471,-17.34,0.016
282,90.9,0.378,0.419,0.774,0.371,-18.59,0.53
283,193.8,0.516,0.318,0.504,0.976,-17.62,0.786
284,76.1,0.576,0.389,0.691,0.546,-27.83,0.076
285,134.8,0.546,0.181,0.436,0.685,-29.74,0.776
286,139.8,0.793,0.689,0.99,0.982,-9.96,0.155
287,75.6,0.49,0.189,0.238,0.677,-2.77,0.107
288,197.3,0.372,0.669,0.029,0.686,-2.18,0.92
289,87.6,0.768,0.955,0.84,0.055,-5.37,0.459
290,106.0,0.741,0.658,0.876,0.73,-17.49,0.083
291,118.7,0.42,0.582,0.199,0.111,-16.15,0.177
292,67.5,0.462,0.76,0.146,0.717,-16.56,0.307
293,94.4,0.388,0.779,0.401,0.827,-14.6,0.396
294,189.6,0.336,0.462,0.144,0.822,-29.47,0.119
295,146.4,0.425,0.583,0.728,0.219,-23.36,0.342
296,63.8,0.46,0.446,0.039,0.18,-15.45,0.313
297,68.5,0.43,0.989,0.678,0.778,-27.75,0.976
298,132.3,0.504,0.659,0.494,0.777,-3.66,0.248
299,122.7,0.724,0.927,0.249,0.079,-3.96,0.12
300,64.2,0.401,0.418,0.941,0.465,-11.45,0.249
301,75.3,0.383,0.549,0.023,0.544,-19.48,0.969
302,130.1,0.571,0.787,0.02,0.772,-8.58,0.951
303,172.4,0.413,0.495,0.882,0.964,-25.17,0.083
304,144.6,0.524,0.378,0.242,0.387,-10.39,0.967
305,86.6,0.588,0.422,0.545,0.147,-24.55,0.525
306,81.4,0.616,0.842,0.858,0.51,-17.46,0.955
307,83.6,0.615,0.446,0.237,0.082,-9.95,0.782
308,200.0,0.568,0.102,0.31,0.862,-9.63,0.915
309,108.1,0.717,0.386,0.756,0.337,-19.05,0.946
310,191.5,0.75,0.146,0.536,0.392,-6.81,0.35
311,177.4,0.605,0.228,0.579,0.821,-13.26,0.147
312,171.2,0.576,0.315,0.931,0.736,-25.18,0.547
313,146.1,0.27,0.175,0.928,0.232,-12.42,0.621
314,189.6,0.711,0.934,0.06,0.411,-22.58,0.761
315,70.7,0.563,0.131,0.165,0.054,-6.01,0.918
316,83.6,0.706,0.781,0.355,0.983,-8.07,0.786
317,128.8,0.443,0.571,0.812,0.515,-5.14,0.506
318,186.0,0.927,0.786,0.409,0.922,-29.57,0.128
319,107.0,0.292,0.195,0.374,0.921,-16.92,0.66
320,169.2,0.536,0.727,0.182,0.825,-21.48,0.079
321,165.0,0.406,0.644,0.132,0.122,-8.82,0.404
322,60.7,0.642,0.634,0.164,0.119,-29.32,0.298
323,100.7,0.478,0.77,0.413,0.701,-7.21,0.703
324,100.0,0.745,0.28,0.013,0.062,-23.53,0.772
325,187.9,0.722,0.191,0.603,0.856,-8.51,0.661
326,123.6,0.408,0.332,0.695,0.168,-21.15,0.753
327,144.3,0.435,0.827,0.365,0.35,-19.79,0.147
328,69.6,0.481,0.538,0.866,0.324,-29.71,0.832
329,139.0,0.735,0.939,0.672,0.289,-18.84,0.597
330,82.3,0.844,0.365,0.224,0.275,-19.62,0.605
331,104.3,0.787,0.286,0.519,0.375,-4.67,0.336
332,61.1,0.781,0.716,0.03,0.726,-17.08,0.159
333,188.5,0.721,0.798,0.877,0.542,-19.4,0.573
334,79.2,0.802,0.661,0.269,0.419,-28.51,0.639
335,199.5,0.281,0.354,0.011,0.152,-23.46,0.933
336,193.3,0.576,0.697,0.051,0.11,-28.06,0.139
337,192.6,0.469,0.585,0.41,0.299,-18.58,0.417
338,116.6,0.6,0.993,0.735,0.125,-20.05,0.24
339,140.1,0.545,0.178,0.168,0.92,-13.21,0.254
340,157.8,0.616,0.914,0.032,0.317,-14.01,0.268
341,93.3,0.747,0.731,0.699,0.255,-9.72,0.892
342,173.6,0.583,0.334,0.138,0.066,-27.87,0.41
343,62.0,0.822,0.14,0.36,0.633,-28.95,0.171
344,168.4,0.908,0.181,0.338,0.632,-14.45,0.103
345,96.0,0.656,0.375,0.93,0.262,-8.76,0.901
346,116.1,0.856,0.603,0.152,0.517,-28.92,0.066
347,103.1,0.392,0.667,0.859,0.485,-28.72,0.647
348,152.1,0.827,0.96,0.219,0.506,-20.69,0.966
349,97.7,0.496,0.194,0.602,0.16,-6.48,0.924
350,65.3,0.55,0.693,0.566,0.985,-3.08,0.103
351,86.5,0.503,0.714,0.015,0.326,-29.34,0.417
352,159.4,0.665,0.995,0.767,0.926,-12.43,0.764
353,168.4,0.448,0.653,0.755,0.709,-28.46,0.677
354,92.8,0.409,0.317,0.592,0.483,-8.22,0.665
355,162.9,0.349,0.293,0.001,0.1,-26.19,0.459
356,145.5,0.663,0.355,0.323,0.463,-14.91,0.207
357,76.0,0.33,0.636,0.436,0.899,-14.12,0.829
358,136.1,0.578,0.958,0.213,0.997,-28.4,0.499
359,125.6,0.779,0.63,0.481,0.006,-20.92,0.529
360,77.2,0.726,0.825,0.47,0.243,-8.08,0.398
361,151.6,0.52,0.89,0.494,0.766,-28.02,0.786
362,163.0,0.541,0.361,0.409,0.661,-14.55,0.424
363,92.7,0.5,0.965,0.356,0.127,-21.12,0.458
364,158.6,0.551,0.649,0.942,0.321,-9.25,0.922
365,77.2,0.52,0.699,0.997,0.596,-27.38,0.911
366,89.0,0.485,0.674,0.911,0.145,-21.49,0.424
367,178.0,0.442,0.66,0.662,0.586,-17.93,0.946
368,122.4,0.679,0.654,0.57,0.01,-2.38,0.558
369,130.4,0.721,0.46,0.973,0.261,-8.62,0.496
370,181.2,0.5,0.344,0.042,0.914,-3.0,0.821
371,66.0,0.86,0.374,0.003,0.07,-27.18,0.37
372,127.9,0.499,0.533,0.07,0.222,-3.93,0.658
373,131.1,0.703,0.118,0.181,0.251,-20.3,0.014
374,177.4,0.548,0.928,0.921,0.025,-3.65,0.98
375,81.1,0.756,0.993,0.197,0.769,-23.01,0.348
376,67.2,0.425,0.174,0.856,0.765,-22.71,0.907
377,128.1,0.575,0.597,0.131,0.111,-19.08,0.65
378,175.5,0.897,0.848,0.703,0.232,-19.64,0.085
379,152.0,0.401,0.61,0.048,0.385,-28.27,0.704
380,120.8,0.567,0.181,0.272,0.289,-9.34,0.642
381,174.4,0.282,0.574,0.296,0.456,-27.0,0.329
382,128.5,0.805,0.137,0.314,0.509,-25.86,0.641
383,126.0,0.467,0.147,0.956,0.232,-9.25,0.059
384,121.5,0.571,0.568,0.155,0.717,-9.02,0.615
385,147.3,0.61,0.969,0.887,0.736,-23.47,0.534
386,147.4,0.725,0.842,0.23,0.262,-26.75,0.427
387,157.6,0.839,0.984,0.384,0.092,-11.69,0.217
388,81.0,0.691,0.248,0.154,0.771,-19.39,0.339
389,136.7,0.5,0.748,0.615,0.615,-6.31,0.331
390,197.6,0.475,0.372,0.545,0.888,-25.93,0.819
391,125.3,0.82,0.763,0.802,0.501,-27.45,0.503
392,140.8,0.565,0.652,0.833,0.868,-16.96,0.077
393,134.3,0.417,0.65,0.635,0.534,-4.84,0.497
394,114.9,0.72,0.426,0.358,0.519,-29.77,0.657
395,148.2,0.526,0.568,0.053,0.982,-2.55,0.413
396,69.6,0.528,0.157,0.202,0.446,-13.11,0.24
397,103.3,0.789,0.867,0.81,0.593,-7.0,0.382
398,97.8,0.499,0.747,0.13,0.901,-13.15,0.317
399,167.2,0.548,0.836,0.261,0.037,-12.12,0.801
400,95.1,0.387,0.886,0.914,0.4,-4.91,0.326
401,172.6,0.25,0.314,0.044,0.71,-11.88,0.023
402,63.9,0.467,0.18,0.772,0.171,-12.93,0.295
403,112.1,0.84,0.533,0.597,0.466,-3.31,0.345
404,105.0,0.58,0.557,0.28,0.413,-13.75,0.103
405,81.0,0.625,0.841,0.144,0.112,-3.18,0.152
406,83.9,0.761,0.644,0.54,0.487,-6.39,0.813
407,92.7,0.236,0.428,0.965,0.621,-7.5,0.45
408,115.6,0.798,0.409,0.706,0.005,-4.56,0.912
409,188.8,0.661,0.491,0.659,0.457,-11.34,0.034
410,173.8,0.424,0.596,0.779,0.821,-20.42,0.068
411,85.4,0.485,0.591,0.711,0.55,-23.79,0.696
412,72.9,0.678,0.489,0.246,0.302,-19.69,0.678
413,149.9,0.697,0.119,0.881,0.024,-20.44,0.307
414,89.2,0.358,0.646,0.049,0.55,-20.57,0.01
415,140.6,0.37,0.716,0.499,0.326,-8.57,0.431
416,94.6,0.833,0.253,0.603,0.902,-5.77,0.162
417,61.7,0.288,0.452,0.863,0.093,-24.52,0.559
418,132.7,0.549,0.992,0.572,0.093,-22.37,0.276
419,120.4,0.739,0.981,0.044,0.857,-24.75,0.337
420,162.8,0.578,0.627,0.187,0.192,-27.55,0.242
421,153.7,0.823,0.246,0.711,0.108,-15.73,0.51
422,181.2,0.73,0.948,0.762,0.16,-13.45,0.862
423,136.0,0.404,0.293,0.916,0.766,-11.93,0.834
424,145.1,0.385,0.222,0.084,0.43,-5.43,0.122
425,175.3,0.876,0.484,0.852,0.455,-9.27,0.439
426,70.2,0.841,0.224,0.439,0.659,-14.4,0.715
427,127.9,0.437,0.397,0.642,0.606,-16.31,0.152
428,118.8,0.774,0.529,0.916,0.036,-29.51,0.136
429,72.7,0.542,0.398,0.72,0.37,-6.83,0.662
430,167.7,0.331,0.569,0.169,0.77,-17.16,0.048
431,80.8,0.934,0.933,0.903,0.656,-2.89,0.649
432,171.5,0.325,0.509,0.256,0.568,-4.46,0.236
433,100.0,0.405,0.261,0.132,0.161,-24.63,0.832
434,175.9,0.58,0.107,0.673,0.21,-26.48,0.031
435,102.4,0.481,0.678,0.012,0.355,-21.6,0.274
436,173.9,0.33,0.252,0.962,0.904,-13.08,0.133
437,70.0,0.263,0.259,0.773,0.197,-16.91,0.167
438,63.0,0.462,0.579,0.705,0.287,-3.31,0.489
439,113.7,0.445,0.674,0.818,0.336,-19.71,0.604
440,171.7,0.458,0.246,0.789,0.496,-13.83,0.365
441,143.4,0.358,0.796,0.897,0.747,-8.58,0.761
442,95.0,0.309,0.314,0.025,0.506,-8.6,0.794
443,121.4,0.513,0.232,0.336,0.608,-26.93,0.564
444,167.1,0.361,0.704,0.264,0.853,-4.69,0.836
445,182.7,0.718,0.623,0.844,0.399,-10.38,0.672
446,195.1,0.65,0.473,0.184,0.028,-18.06,0.142
447,171.9,0.408,0.996,0.238,0.06,-18.57,0.852
448,79.7,0.67,0.363,0.522,0.333,-16.54,0.599
449,151.9,0.898,0.369,0.768,0.289,-21.65,0.436
